Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL
2017-12-18,232.2588,55.385,94.5048,190.07,149.0308,65.6714,176.74,10.98,102.5135,10.5166,199.7772,43.1483,67.0559,157.9171,65.67,72.1025,130.2475,130.148,116.09,235.47,81.7549,167.9999,244.6711,42.2314,102.1323,1085.09,1077.14,69.4832,1190.58,58.6017,50.9971,72.7819,98.604,58.0346,139.8286,88.6094,165.7481,90.8281,70.9762,171.1119,88.5879,47.6834,86.339,147.59,224.347,136.0767,60.7506,39.0168,42.6266,173.8106
2017-12-19,232.2296,55.7778,94.2449,193.89,149.5219,64.5671,174.97,10.95,99.5392,10.2285,200.6006,42.9968,67.1451,158.2872,66.82,71.7398,130.1883,127.7884,115.72,235.05,79.2892,166.6827,242.3256,41.4275,102.348,1079.78,1070.68,70.6787,1187.38,57.7092,50.9475,71.8275,98.0798,58.2294,138.8693,87.1504,167.0252,92.1945,71.532,171.8211,87.9442,48.5284,86.2018,147.63,225.3056,135.7593,60.7605,39.3394,41.682,171.9584
2017-12-20,230.7975,55.9938,93.754,193.69,149.0602,64.0498,174.25,10.98,98.4014,10.1612,200.9875,42.6938,66.7983,158.5892,66.63,72.3083,129.5079,124.9044,118.35,233.65,80.2101,162.8884,244.6018,41.1756,102.3873,1073.56,1064.95,70.0611,1177.62,56.9332,51.4229,71.8179,97.4467,58.4437,137.2345,87.4833,166.801,92.1453,71.949,172.0543,87.7857,49.845,86.8879,147.35,225.2364,135.2831,60.9488,40.3265,41.7012,171.7712
2017-12-21,228.7128,55.9054,94.2353,190.63,151.4668,64.7462,174.56,10.89,99.9993,10.1996,200.2831,42.5716,66.9172,158.9106,65.84,73.2101,126.8651,125.0986,118.24,218.76,80.2101,164.7758,247.2047,40.9916,102.1813,1070.85,1063.63,69.4241,1174.76,56.6228,52.2846,71.0852,97.4368,58.5216,136.6667,87.8359,167.3859,91.4081,72.0879,171.6365,87.5976,51.0535,86.8879,147.23,222.4298,134.2417,61.1769,42.3301,41.5952,172.4214
2017-12-22,228.6641,55.9054,94.524,191.64,151.1623,64.1791,175.0,10.54,100.4188,10.2861,202.5848,42.6205,66.7487,159.1638,65.45,72.8082,127.4962,125.7104,118.78,223.12,79.5566,162.0922,249.3919,41.1659,102.0833,1068.86,1060.12,69.6171,1168.36,56.9332,52.0865,70.9985,97.6742,57.7716,137.6946,88.629,167.2007,90.8871,72.0681,171.3839,87.2905,52.0066,87.0839,146.66,222.9437,132.2678,60.7307,41.9392,41.6338,172.4214
2017-12-26,229.3655,55.9742,94.0813,189.54,150.2783,63.1246,174.44,10.46,101.8269,10.2189,202.4459,42.8306,66.6496,158.7547,65.42,73.3571,127.2497,126.6134,119.22,223.54,79.6061,161.6401,248.0559,40.8657,102.3088,1065.85,1056.74,69.5592,1176.76,56.5549,52.344,70.3622,97.506,57.8885,137.9393,88.5409,166.801,91.6636,72.0085,171.0634,86.9439,53.1562,86.8683,146.39,222.7757,132.2182,61.1273,42.379,41.7687,168.0471
2017-12-27,230.0962,56.4357,94.4085,190.42,150.6024,63.0151,175.36,10.53,99.6398,10.2477,203.0511,42.8648,66.6991,159.4073,65.19,72.8964,126.6481,127.4291,119.8,226.45,79.2199,162.7508,247.8381,41.0884,102.5638,1060.2,1049.37,69.897,1182.26,56.9429,51.8983,70.6032,98.06,57.9956,139.2675,88.9522,166.645,91.0247,72.1376,171.1799,87.241,52.8418,87.3289,146.66,222.5879,132.8332,61.3454,41.9196,41.7976,168.0766
2017-12-28,229.6286,56.4259,94.1198,190.55,150.848,63.0748,175.55,10.55,99.5799,10.3341,204.8765,43.119,66.8478,160.3326,65.43,73.0925,126.6679,127.7616,120.26,226.48,78.7842,161.817,248.7585,41.3209,102.8677,1055.95,1048.14,68.7776,1186.1,57.3794,51.9578,70.9985,98.6238,58.4437,140.5956,89.716,167.2982,91.0149,72.3361,170.2473,87.7461,52.8221,87.6034,147.65,224.3667,133.4283,61.0777,41.9001,42.0193,168.5495
2017-12-29,229.2876,56.0429,93.0803,187.41,150.3765,62.9952,175.24,10.28,99.5599,10.4013,203.6265,42.899,66.519,160.7342,65.04,72.0535,126.1156,127.6833,119.59,222.19,78.7842,160.7947,250.8666,41.2725,102.6716,1053.4,1046.4,68.9127,1169.47,57.2242,51.5319,70.9213,98.238,58.0346,140.3595,89.5887,165.2119,90.258,71.939,168.9359,86.9538,52.7042,87.2603,147.59,222.3607,132.9125,60.7506,41.2648,42.135,166.7269
2018-01-02,229.5506,57.732,94.7165,192.49,151.1132,63.9802,177.7,10.98,105.9516,10.4494,201.4339,42.9919,67.1448,162.135,65.56,73.5237,129.7051,127.038,124.05,224.62,79.1308,167.42,252.6975,40.7882,99.9359,1073.21,1065.0,68.2661,1189.01,56.6422,52.4827,69.8031,97.872,57.9567,138.8444,87.2287,165.6409,92.4402,72.217,171.9474,86.9538,53.8145,88.4855,148.55,223.339,130.4229,60.9984,43.2977,41.8844,169.7121
2018-01-03,229.5409,57.8596,96.1987,195.82,151.8106,64.975,181.04,11.55,106.9103,10.4398,200.5212,43.119,68.8532,163.0167,65.94,73.1807,129.9615,126.4416,124.95,231.2,79.4674,167.243,257.3886,40.4298,99.9948,1091.52,1082.48,68.0152,1204.2,56.3512,51.8389,69.2151,98.4754,58.5995,139.3855,86.6118,164.822,92.7842,72.8523,175.192,88.0828,53.8145,89.5832,151.42,226.4519,132.5059,61.3652,44.3044,41.9422,169.6825
