Date,Close,High,Low,Open,Volume
2017-12-18,50.997100,51.165400,50.759400,50.759400,3236066
2017-12-19,50.947500,51.314000,50.789100,51.106000,3019807
2017-12-20,51.422900,51.601200,50.680100,51.076300,5172839
2017-12-21,52.284600,52.958100,51.571500,51.660600,7125891
2017-12-22,52.086500,52.373800,51.918200,52.215300,2425104
2017-12-26,52.344000,52.705500,51.829000,51.848800,2774316
2017-12-27,51.898300,52.373800,51.561600,52.294500,2831434
2017-12-28,51.957800,52.126100,51.720100,51.947900,1845331
2017-12-29,51.531900,52.314300,51.512100,51.918200,2697096
2018-01-02,52.482700,52.591600,51.403100,51.829000,4084712
2018-01-03,51.838900,52.353900,51.556600,52.353900,5074850
2018-01-04,52.165800,53.879200,51.764600,51.977600,3557059
2018-01-05,52.146000,52.332900,51.928100,52.274700,2967756
2018-01-08,51.630900,52.136000,51.432800,52.096400,3515785
2018-01-09,51.581400,52.859100,51.507100,52.462900,3426021
2018-01-10,53.265100,53.502800,52.373800,52.720400,7655771
2018-01-11,55.879900,56.454300,53.661300,53.968300,11339858
2018-01-12,57.910200,58.167700,56.018500,56.018500,7505761
2018-01-16,57.424900,58.514400,56.979200,58.227200,5283872
2018-01-17,57.603200,58.019200,57.246600,57.751800,3148934
2018-01-18,57.781500,58.147900,57.008900,57.444700,3969309
2018-01-19,57.504200,58.029100,57.207000,58.029100,3151201
2018-01-22,57.543800,57.781500,56.979700,57.434800,3553916
2018-01-23,57.732000,57.900300,56.850500,57.187200,3336991
2018-01-24,54.265500,54.929100,52.938300,53.829700,16348479
2018-01-25,52.542100,54.027800,51.710200,53.483000,10223096
2018-01-26,52.561900,53.384000,51.838900,53.136400,7066094
2018-01-29,52.175700,52.651100,52.081600,52.284600,5953675
2018-01-30,52.086500,52.542100,51.858700,51.947900,4741808
2018-01-31,53.800000,54.186200,52.492600,52.571800,5962937
2018-02-01,53.364200,54.116900,53.077000,53.483000,3623078
2018-02-02,51.601200,53.473100,51.531900,52.977900,5109361
2018-02-05,49.378400,51.988200,49.368500,50.837100,6878284
2018-02-06,50.787500,51.105100,48.415800,48.941800,6782480
2018-02-07,51.005800,51.581400,50.499700,50.519600,4845831
2018-02-08,48.227300,51.065400,48.138000,51.045500,5995091
2018-02-09,47.989100,49.348600,45.974700,49.318900,6837776
2018-02-12,49.705900,50.122600,48.276900,48.415800,5437809
2018-02-13,50.479900,50.529500,49.259300,49.318900,3758026
2018-02-14,50.678300,51.164600,49.725700,49.854700,4983225
2018-02-15,51.273700,51.482100,50.549300,51.055400,3140818
2018-02-16,51.184400,51.804600,51.134800,51.402800,3891284
