Date,Close,High,Low,Open,Volume
2017-12-18,55.385000,55.502800,54.422600,54.520800,6053871
2017-12-19,55.777800,55.920200,55.434100,55.493000,7116846
2017-12-20,55.993800,56.268800,55.380100,55.718800,11948355
2017-12-21,55.905400,56.239300,55.718800,56.111600,6154694
2017-12-22,55.905400,56.292600,55.738500,55.915200,5449333
2017-12-26,55.974200,56.214800,55.876000,55.984000,3187912
2017-12-27,56.435700,56.563400,56.023300,56.062500,5243921
2017-12-28,56.425900,56.651700,56.337500,56.406200,3387664
2017-12-29,56.042900,56.725400,56.042900,56.563400,3995189
2018-01-02,57.732000,58.134600,56.776500,57.152600,10113305
2018-01-03,57.859600,57.952900,57.260600,57.928400,5684407
2018-01-04,57.761400,58.527400,57.702500,58.429200,6239956
2018-01-05,57.928400,58.026600,57.579700,57.977500,5836945
2018-01-08,57.761400,57.918500,57.471700,57.790900,5411995
2018-01-09,57.859600,58.036400,57.324400,58.036400,7467672
2018-01-10,57.771200,57.849800,57.241000,57.692700,4340836
2018-01-11,58.165900,58.175800,57.514700,57.869900,4240938
2018-01-12,58.057400,58.452100,58.008000,58.175800,6321142
2018-01-16,57.662700,58.353400,57.455500,58.107700,7175001
2018-01-17,58.205400,58.313900,57.845200,57.978400,5037504
2018-01-18,58.284300,58.476700,57.751500,57.998200,5658579
2018-01-19,58.521100,58.886200,58.175800,58.442200,7363008
2018-01-22,58.777700,58.777700,57.672600,58.096800,6841939
2018-01-23,58.442200,58.773800,58.190600,58.728300,8122077
2018-01-24,60.899100,63.306600,59.932100,60.188600,11704949
2018-01-25,62.379100,63.740800,61.491100,62.339700,15261885
2018-01-26,62.576500,62.591300,61.836400,62.310000,10242797
2018-01-29,62.467900,62.620900,62.014000,62.250800,8638541
2018-01-30,61.609500,62.275500,61.461600,61.609500,6497641
2018-01-31,61.333200,61.925200,61.027300,61.826600,7804362
2018-02-01,61.353000,61.708200,60.839900,60.928700,8101584
2018-02-02,60.869500,61.589800,60.820100,61.372700,12346542
2018-02-05,57.948800,61.047100,57.771200,60.780700,11548229
2018-02-06,58.077100,58.472400,56.567500,57.149600,15214679
2018-02-07,57.889600,59.053900,57.721900,57.820600,6872663
2018-02-08,55.521600,58.047500,55.472200,57.988300,6874534
2018-02-09,56.409600,56.922700,54.840700,55.876800,8028354
2018-02-12,56.646400,57.208800,56.118500,56.932500,8234201
2018-02-13,56.873300,57.023200,56.054400,56.380000,5816623
2018-02-14,57.504800,57.623200,56.389900,56.557600,3728920
2018-02-15,58.708600,58.718500,57.554200,57.939000,3871897
2018-02-16,59.369700,59.733800,58.540900,58.649400,7849189
2018-02-20,58.333700,59.073700,58.057400,58.886200,8182537
2018-02-21,58.205400,59.192100,58.037600,58.284300,4793848
2018-02-22,58.205400,58.609900,58.017900,58.422500,5539926
2018-02-23,58.915800,58.945400,58.195500,58.432300,5190445
2018-02-26,59.724900,59.779200,58.935500,59.063800,5364248
2018-02-27,59.744600,60.425500,59.586800,59.942000,6747678
2018-02-28,59.527600,60.307100,59.379600,59.863000,8325745
2018-03-01,58.008000,59.379600,57.751500,59.359800,9711891
2018-03-02,58.669100,58.738200,57.652800,57.702200,7979196
2018-03-05,59.567000,59.823600,58.116600,58.126400,9000405
2018-03-06,60.070200,60.208400,59.305600,59.784100,6620048
2018-03-07,60.474800,60.598100,59.389400,59.468400,7726484
2018-03-08,61.047100,61.126000,60.484700,60.524100,5245774
2018-03-09,62.754100,62.852700,61.192300,61.224700,8184391
2018-03-12,62.773800,63.099400,62.571500,62.744200,8858484
2018-03-13,62.359400,63.099400,62.167000,63.040200,6428545
2018-03-14,62.023900,62.773800,61.895600,62.576500,5162114
2018-03-15,61.757500,62.290300,61.688400,62.211400,3364910
2018-03-16,62.339700,62.472900,61.875900,61.945000,11840947
2018-03-19,61.431900,62.398900,60.869600,62.290300,5286162
2018-03-20,61.816700,61.925200,61.323400,61.649000,3943042
2018-03-21,61.589800,62.231100,61.510800,61.915400,3478298
2018-03-22,60.119600,61.274000,60.040600,60.997700,5345250
2018-03-23,58.708600,60.455100,58.570500,60.218200,6000798
2018-03-26,60.257700,60.336700,58.886200,59.478200,5694714
2018-03-27,59.478200,60.800400,59.187100,60.455100,6365304
2018-03-28,58.442200,59.902500,58.387900,59.724900,8128752
2018-03-29,59.123000,59.576900,58.511300,58.777700,6656596
2018-04-02,57.435800,59.290700,56.863500,59.024300,6686491
2018-04-03,58.215200,58.284300,57.228500,57.623200,6113531
2018-04-04,58.669100,58.817100,56.685900,57.564000,7405245
2018-04-05,59.063800,59.345000,58.757900,59.103300,6644536
2018-04-06,56.804300,58.807300,56.232000,58.649400,7447118
2018-04-09,57.445600,58.323800,56.685900,57.090400,5712315
2018-04-10,58.353400,58.817100,57.929100,58.235000,5244751
2018-04-11,57.672600,58.259600,57.435800,57.860000,4044894
2018-04-12,58.326900,58.673900,57.960100,57.999700,4572325
2018-04-13,57.989800,58.867300,57.970000,58.673900,8223673
2018-04-16,58.763200,59.020900,58.416100,58.495500,6807514
2018-04-17,59.288600,59.447300,58.545000,59.139900,5604601
2018-04-18,59.011000,59.110200,56.958700,58.495500,12648456
2018-04-19,59.367900,59.516700,58.693800,59.011000,7675521
2018-04-20,58.683800,59.437300,58.312000,59.338200,5867509
2018-04-23,58.336800,58.951500,58.089000,58.773100,4516125
2018-04-24,57.811400,58.664000,57.171900,58.584700,7480274
2018-04-25,58.148500,58.168300,57.206600,57.543700,5909974
2018-04-26,58.991200,59.011000,57.994800,58.188100,7372804
2018-04-27,59.050700,59.179600,58.637900,58.981300,4135387
2018-04-30,57.632900,59.288600,57.603200,59.249000,6096123
2018-05-01,58.317000,58.366600,57.057900,57.206600,6406388
2018-05-02,57.355300,58.059200,57.176800,57.989800,4519911
2018-05-03,57.434600,57.444500,56.324200,57.295800,5641008
2018-05-04,58.237700,58.574800,56.988500,57.147100,5833159
2018-05-07,58.812700,59.249000,58.436000,58.485600,5656052
2018-05-08,58.207900,58.624400,57.742000,58.614400,6778490
2018-05-09,58.892000,59.070500,57.920400,58.307100,4103362
2018-05-10,60.042100,60.091700,58.852400,59.120100,4791091
2018-05-11,60.736100,60.775800,59.705000,59.705000,5768124
2018-05-14,61.489600,61.638400,60.865000,60.974100,7705740
2018-05-15,60.022300,61.053400,59.804200,60.914600,5333461
2018-05-16,60.250300,60.627100,59.883500,60.052000,3588561
2018-05-17,60.537800,60.637000,59.853800,60.280100,4157900
2018-05-18,61.182300,61.340900,60.418900,60.498200,6357689
2018-05-21,61.578900,61.955600,61.261600,61.469800,4610142
2018-05-22,60.865000,61.757300,60.438700,61.569000,6802246
2018-05-23,61.311200,61.440100,60.696500,60.696500,4318022
2018-05-24,61.975500,62.183700,61.360800,61.360800,5783938
2018-05-25,61.836600,62.044900,61.529300,61.955600,3839066
2018-05-29,60.775800,61.340900,60.329600,61.053400,4967378
2018-05-30,61.539200,62.114300,60.914600,61.251700,5954051
2018-05-31,61.003800,61.697800,60.979000,61.370700,6322162
2018-06-01,61.876300,61.950700,61.321100,61.430200,3595765
2018-06-04,62.481100,62.570300,61.747400,61.787100,4063263
2018-06-05,62.491000,62.753700,62.074600,62.550500,4469439
2018-06-06,62.996600,63.006600,62.238200,62.570300,4064800
2018-06-07,62.639700,63.304000,62.332400,63.016500,3834269
2018-06-08,62.729000,62.867800,62.302600,62.471200,4674883
2018-06-11,62.590100,62.938300,62.362100,62.738900,5339303
2018-06-12,62.381900,62.877700,62.074600,62.729000,4869381
2018-06-13,62.094400,62.624800,61.935800,62.520700,6189058
2018-06-14,62.421600,62.684300,62.203500,62.322500,3980778
2018-06-15,62.372000,62.540600,61.727600,62.322500,11859419
2018-06-18,62.282800,62.332400,61.747400,62.054800,3672742
2018-06-19,61.806900,61.876300,61.390500,61.707800,5302313
2018-06-20,61.608600,61.960600,61.509500,61.678000,5121291
2018-06-21,61.221900,61.569000,60.924500,61.440100,4065615
2018-06-22,61.410300,61.856500,61.132600,61.697800,5000555
2018-06-25,60.250300,61.241800,59.799400,61.172400,6012623
2018-06-26,60.290000,60.567600,59.972700,60.121400,4303768
2018-06-27,59.972700,61.608600,59.972700,60.686600,6665248
2018-06-28,60.746100,60.954300,59.943000,59.943000,4237226
2018-06-29,60.468400,61.336000,60.399000,60.964200,5807251
2018-07-02,60.478400,60.498200,59.804200,60.111500,4365174
2018-07-03,60.290000,60.701400,60.111500,60.448600,2245220
2018-07-05,60.805500,60.884900,60.240400,60.666700,4065214
2018-07-06,61.628400,61.866400,60.736900,61.043500,3647913
2018-07-09,61.906000,62.094400,61.608600,61.697800,3655390
2018-07-10,62.272900,62.580200,61.935800,62.025000,3963576
