Date,Close,High,Low,Open,Volume
2017-12-18,167.999900,171.125800,167.744300,168.943600,2890338
2017-12-19,166.682700,169.661100,166.584400,168.176800,2669086
2017-12-20,162.888400,167.420000,162.632900,167.007100,3231568
2017-12-21,164.775800,165.552300,162.269200,162.544400,3052482
2017-12-22,162.092200,165.296700,161.089600,165.021500,2584154
2017-12-26,161.640100,163.561800,161.315700,161.728500,1628938
2017-12-27,162.750800,164.343200,161.453300,161.620400,2068853
2017-12-28,161.817000,162.682000,160.392700,162.131600,2119182
2017-12-29,160.794700,163.075200,160.735700,161.807200,2490947
2018-01-02,167.420000,168.206300,160.676800,161.256700,3161623
2018-01-03,167.243000,169.533300,165.945500,169.071300,2609163
2018-01-04,168.658500,169.051700,165.975000,168.285000,1742685
2018-01-05,169.356400,169.877400,168.088400,169.494000,1749573
2018-01-08,167.655900,170.309900,165.458900,170.015000,2800789
2018-01-09,172.659200,174.281100,168.117900,168.570000,3744247
2018-01-10,171.027500,172.207000,168.933700,171.627100,2120265
2018-01-11,174.104200,174.330300,170.850500,171.518900,2015162
2018-01-12,173.052400,177.480700,172.796800,174.595700,2802192
2018-01-16,175.617900,176.738500,173.595500,173.946900,2653869
2018-01-17,173.711000,176.394500,173.327600,176.394500,2220065
2018-01-18,176.581300,176.886000,173.101500,174.251600,2819410
2018-01-19,178.242500,178.871600,176.070100,177.790300,4043473
2018-01-22,184.946400,185.221600,177.647800,177.918100,5269596
2018-01-23,184.857900,190.038200,183.127900,187.256300,3845394
2018-01-24,183.540700,186.646900,182.567600,185.182300,2002022
2018-01-25,183.933900,184.504000,181.004700,183.796300,2004282
2018-01-26,183.747100,184.228800,181.191400,184.051900,1974694
2018-01-29,184.110800,186.705900,183.825800,186.705900,2731152
2018-01-30,181.240600,182.960800,179.254900,181.014500,2346764
2018-01-31,177.190700,181.722200,176.571400,181.201200,2933298
2018-02-01,175.500000,177.869000,175.077300,176.915500,2106462
2018-02-02,169.572700,175.087100,169.366200,174.713600,3388432
2018-02-05,162.190500,169.494000,162.190500,168.973000,4653545
2018-02-06,165.463800,172.020300,157.570600,163.468400,8286363
2018-02-07,167.488800,170.034700,164.225300,166.053600,3722660
2018-02-08,161.404200,169.641500,161.315700,167.734500,3622384
2018-02-09,159.998500,163.743600,155.014800,162.229900,4240750
2018-02-12,159.693800,161.935000,157.541100,161.246900,3066724
2018-02-13,156.017500,159.693800,153.451900,158.504400,3247910
2018-02-14,163.792800,164.156500,153.343800,154.513500,4882165
2018-02-15,161.669600,166.613900,159.939500,165.277100,3403883
2018-02-16,161.246900,162.927800,160.126300,161.551600,2689078
2018-02-20,157.855600,161.207600,157.517900,160.293400,2468594
2018-02-21,156.597400,159.261300,156.518800,157.521400,2688037
2018-02-22,156.685900,158.907400,156.282900,156.980800,2764162
2018-02-23,159.330100,159.792100,157.324800,158.779600,2583100
2018-02-26,162.937600,163.340600,158.760000,159.349700,2695229
2018-02-27,157.872900,163.776800,157.823600,162.601900,3255654
2018-02-28,152.255400,159.037900,151.307700,158.850300,6010386
2018-03-01,146.302200,149.866300,142.906100,148.839500,9340223
2018-03-02,142.185400,145.394000,141.277100,145.305100,8464754
2018-03-05,146.835400,147.743600,140.990800,141.593000,4028970
2018-03-06,148.790100,149.767500,146.322000,147.348700,3305224
2018-03-07,151.268200,151.327400,146.993300,147.378400,2927674
2018-03-08,151.544600,152.497800,149.580000,151.998700,3446692
2018-03-09,155.276400,155.424500,151.830900,152.986000,3459221
2018-03-12,156.392100,158.001300,155.513400,155.582500,2745972
2018-03-13,161.111200,162.503200,156.717800,157.162100,4330745
2018-03-14,164.931900,166.699100,161.160500,161.160500,5077526
2018-03-15,164.003800,166.432400,162.878400,165.089800,3660693
2018-03-16,166.807700,168.634100,164.615900,164.675200,3831471
2018-03-19,164.151900,167.524700,162.552600,165.850000,2857450
2018-03-20,161.535700,165.099700,160.430000,164.250700,4023415
2018-03-21,161.614700,163.757000,161.061800,161.713400,2107608
2018-03-22,160.508900,162.829000,159.936300,160.449700,2586833
2018-03-23,157.448400,162.577200,157.231200,161.358000,2418718
2018-03-26,158.159300,159.985700,153.716600,159.442700,3207569
2018-03-27,158.277700,161.437000,156.787000,158.820700,2283637
2018-03-28,163.539800,166.215300,158.949100,158.949100,3829159
2018-03-29,166.146200,167.538200,163.243600,164.951600,2860124
2018-04-02,160.202900,166.146200,158.445600,165.218200,3305935
2018-04-03,162.641400,162.799400,156.411900,161.130900,1803481
2018-04-04,164.349400,164.843000,160.331200,161.387600,2158446
2018-04-05,163.026400,165.297200,162.434100,165.297200,1870999
2018-04-06,159.462400,161.910800,157.764300,161.910800,2105830
2018-04-09,159.817900,162.542700,158.968800,160.785400,1844579
2018-04-10,162.216900,162.611800,159.645600,160.943300,1852991
2018-04-11,162.957300,164.428400,161.219800,161.555400,1267448
2018-04-12,164.191400,164.872600,162.809300,163.826100,1038476
2018-04-13,162.276100,166.738600,161.298700,165.316900,1487651
2018-04-16,164.329600,164.951600,161.417200,163.569400,1787613
2018-04-17,164.704800,165.662400,164.003800,165.168800,1444137
2018-04-18,163.470700,165.514300,163.342400,165.465000,1457314
2018-04-19,156.569800,166.728700,149.609600,163.362100,12170152
2018-04-20,156.490800,159.097100,155.276400,157.162100,3180410
2018-04-23,157.853200,159.659900,156.737600,156.737600,1851987
2018-04-24,154.901300,158.870100,153.746200,158.415900,2364281
2018-04-25,155.118500,155.217200,152.926800,154.812400,1700610
2018-04-26,158.485000,159.344000,155.523300,155.987300,3276068
2018-04-27,159.975800,160.874200,157.955400,159.146500,1898199
2018-04-30,151.692700,164.369100,151.623600,163.885400,5673785
2018-05-01,150.991700,152.581200,149.017200,151.248400,3250809
2018-05-02,149.145600,152.956400,149.056700,150.192100,2855269
2018-05-03,145.719800,149.194900,143.881300,148.869100,3805019
2018-05-04,147.398100,147.822600,145.374200,145.917200,1709208
2018-05-07,145.216300,148.494000,145.117500,147.348700,2360891
2018-05-08,141.968200,145.867800,141.879300,145.374200,5264447
2018-05-09,144.416600,145.255700,141.543600,142.175500,2920117
2018-05-10,149.974900,151.805400,145.127400,145.275500,3944787
2018-05-11,151.712400,151.761800,148.296500,149.965000,2552750
2018-05-14,152.393600,154.259600,151.550900,151.663100,1801069
2018-05-15,150.863400,151.791400,149.155400,151.771700,2414366
2018-05-16,153.272300,154.842100,150.962100,151.594000,1810347
2018-05-17,158.925900,159.054900,153.037200,153.331800,3492504
2018-05-18,157.140600,160.026900,156.714100,158.687900,2501792
2018-05-21,152.954900,157.686100,152.578000,157.229800,2456297
2018-05-22,153.718600,154.720400,152.766500,153.133400,1788147
2018-05-23,154.680800,156.109000,152.726800,152.726800,1579566
2018-05-24,152.409400,155.176400,152.260600,154.581600,1736530
2018-05-25,152.746600,154.006200,151.804400,152.349900,1271222
2018-05-29,149.800800,151.615900,148.461800,151.129900,2348914
2018-05-30,150.286800,152.290400,145.833300,150.981100,4248919
2018-05-31,149.572700,151.129900,148.322900,150.465300,2453259
2018-06-01,153.738500,154.075700,149.339600,150.495100,2296384
2018-06-04,149.949600,153.530200,147.018600,153.421100,3619680
2018-06-05,150.971200,153.697800,148.937900,150.009100,2599720
2018-06-06,154.115400,154.631200,150.157900,151.258800,2537331
2018-06-07,161.941200,163.607500,157.448000,158.152300,5009954
2018-06-08,168.963600,169.409900,160.879900,161.643600,5289336
2018-06-11,169.647900,172.524300,167.584900,170.104200,3477500
2018-06-12,169.568600,171.592000,167.674100,169.320600,2383250
2018-06-13,168.844500,172.167300,168.705700,170.500900,3087694
2018-06-14,172.534300,172.871500,168.517200,169.013100,3164032
2018-06-15,171.770500,172.802100,170.481100,172.335900,3819333
2018-06-18,170.322400,170.957200,169.092500,169.548800,1577453
2018-06-19,171.641600,171.820100,167.426200,168.953600,2034259
2018-06-20,173.764200,177.305100,171.978800,172.544200,2744292
2018-06-21,171.086100,174.061700,170.491000,172.921100,1248173
2018-06-22,172.008600,173.000400,170.798500,172.415200,1997015
2018-06-25,169.846300,171.959000,168.130400,171.959000,1749444
2018-06-26,168.527100,170.307500,165.363100,169.003200,1745896
2018-06-27,165.244100,169.211500,165.174600,167.694000,1443327
2018-06-28,167.208000,167.624500,162.724700,166.097100,1429091
2018-06-29,165.363100,167.872500,165.283700,167.624500,1816916
2018-07-02,165.849100,165.997900,162.030400,164.430700,1478260
2018-07-03,167.267500,169.876100,166.578100,167.198000,864927
2018-07-05,170.798500,171.026600,167.381500,169.042900,1367399
2018-07-06,173.169000,174.200600,171.106000,171.592000,1585758
2018-07-09,175.400700,176.382700,173.248400,173.436800,1710611
2018-07-10,174.518000,176.551300,174.111300,176.551300,1225655
2018-07-11,172.990500,175.499900,171.929200,174.200600,1375030
2018-07-12,175.083300,175.842100,172.841700,174.399000,1573091
2018-07-13,175.708200,176.650500,174.577500,174.627100,1070334
2018-07-16,174.230300,176.015700,173.684800,175.738000,884149
2018-07-17,174.230300,175.232100,173.387300,174.200600,1085340
2018-07-18,174.428700,174.547700,171.810200,174.071600,1303141
2018-07-19,171.978800,173.526100,169.528900,173.526100,1828188
2018-07-20,170.391800,171.582100,168.814800,170.699300,1503165
2018-07-23,170.828300,172.831800,170.114100,170.391800,1498418
2018-07-24,173.536000,174.309700,171.651500,171.651500,1425950
2018-07-25,175.390800,175.847100,172.960800,173.575700,2071693
2018-07-26,176.144600,177.642300,172.335900,175.946300,2905998
2018-07-27,177.166200,180.072400,175.946300,175.946300,2905556
2018-07-30,182.492500,182.651200,177.187200,178.148200,2982683
2018-07-31,182.591700,184.585400,182.061100,182.651200,2555958
2018-08-01,182.492500,186.400500,182.185100,182.958700,2013961
2018-08-02,182.780200,184.486200,181.014700,181.312200,1398074
2018-08-03,184.416700,185.795400,183.603400,183.960500,1425352
2018-08-06,183.375300,185.071400,182.408200,184.119200,1270165
2018-08-07,184.218400,185.884700,182.710700,183.375300,1584287
2018-08-08,183.107500,185.775600,182.958700,184.585400,1211048
2018-08-09,182.562000,183.365400,181.242800,182.909100,1358346
2018-08-10,182.502500,183.276100,181.530400,182.056100,1391795
2018-08-13,182.770300,183.434800,181.748600,181.976800,1772177
2018-08-14,182.958700,186.420300,182.571900,182.571900,1531541
2018-08-15,182.978600,183.529000,181.758600,182.502500,2895846
2018-08-16,183.426600,183.914600,182.341300,183.287200,1337921
2018-08-17,184.810700,185.696900,182.550400,183.386800,1378273
2018-08-20,189.938800,190.984400,185.308600,185.338500,2112374
2018-08-21,190.297300,191.213400,188.399800,189.938800,1684805
2018-08-22,187.489300,189.301500,186.632900,188.584600,1568832
2018-08-23,185.906000,188.803700,185.176400,187.698400,1435629
2018-08-24,186.065400,186.642900,184.830600,185.916000,1049426
2018-08-27,186.204800,187.197000,185.139300,186.732500,1265945
2018-08-28,186.921700,187.997100,186.115200,186.244600,1317985
2018-08-29,189.530600,190.018500,186.324300,186.951600,1575424
2018-08-30,190.078200,191.651500,188.793700,189.032700,1563915
2018-08-31,190.894700,191.902800,189.447000,189.799400,2115843
2018-09-04,189.301500,191.611700,189.052600,190.974400,1844915
2018-09-05,190.426700,190.516400,188.982900,189.361300,1683508
2018-09-06,189.689900,190.546200,187.554000,190.217600,1785539
2018-09-07,189.431000,191.034100,188.564700,189.192000,1563743
2018-09-10,188.375500,191.024200,188.036900,190.386900,1453412
2018-09-11,187.618700,189.152200,185.467900,187.588900,1104479
2018-09-12,189.530600,189.739700,186.125100,187.051200,2531882
2018-09-13,189.271700,190.108100,187.369800,189.082500,2207680
2018-09-14,187.419600,190.187800,186.931700,188.724000,1684690
2018-09-17,183.506300,187.200500,182.978600,187.200500,2223719
2018-09-18,185.278700,185.726800,183.406700,183.406700,2379687
2018-09-19,187.230400,188.773800,184.631500,185.816400,1883248
