Date,Close,High,Low,Open,Volume
2017-12-18,58.034600,58.482600,57.781300,58.112500,5630842
2017-12-19,58.229400,58.521600,58.196200,58.443700,3995317
2017-12-20,58.443700,58.580100,58.039400,58.287800,4377326
2017-12-21,58.521600,59.096300,58.463200,58.687200,4941548
2017-12-22,57.771600,58.794300,57.576800,58.706700,4266339
2017-12-26,57.888500,58.239100,57.654700,57.683900,2358776
2017-12-27,57.995600,58.015100,57.654700,57.752100,2841352
2017-12-28,58.443700,58.463200,57.898200,58.151500,2373003
2017-12-29,58.034600,58.648200,58.034600,58.414500,2837584
2018-01-02,57.956700,58.443700,57.586500,58.443700,3769607
2018-01-03,58.599500,58.716400,57.732600,57.839800,4959322
2018-01-04,58.833300,59.466400,58.716400,58.852800,4170571
2018-01-05,59.076800,59.213200,58.804100,59.067100,3726098
2018-01-08,58.687200,58.959900,58.581000,58.891800,3229169
2018-01-09,59.057300,59.685600,58.687200,58.794300,6669064
2018-01-10,59.417700,59.758700,58.979400,59.067100,12261262
2018-01-11,59.563900,59.865800,59.466400,59.651500,6536515
2018-01-12,59.388500,59.632000,59.213200,59.369000,6240145
2018-01-16,59.476200,59.710000,59.310600,59.554100,6078929
2018-01-17,59.826800,59.992400,59.597900,59.807400,4935670
2018-01-18,59.934000,60.177500,59.447000,59.963200,5402110
2018-01-19,59.953500,60.245700,59.739200,60.070400,6498699
2018-01-22,59.417700,59.768400,58.872300,59.768400,7217596
2018-01-23,60.723000,60.878800,59.135300,59.271600,10001225
2018-01-24,62.651600,62.862800,60.791200,60.849600,10387491
2018-01-25,63.119200,63.202000,62.174300,62.680800,6113389
2018-01-26,63.002300,63.226300,62.573700,62.943800,5014143
2018-01-29,62.593200,63.362700,62.554200,62.963300,4270458
2018-01-30,61.706800,62.651600,61.473000,61.921100,4555667
2018-01-31,62.262000,62.438300,61.697000,62.018500,4909467
2018-02-01,62.505500,62.607800,61.653200,62.086700,4120710
2018-02-02,61.404800,62.310700,61.239200,62.223000,4294412
2018-02-05,59.057300,60.976200,58.882000,60.674300,8578180
2018-02-06,58.696900,59.106000,57.508600,58.132000,12035697
2018-02-07,58.901500,59.710000,58.132000,58.443700,7719767
2018-02-08,56.768300,59.047600,56.758600,58.882000,7377638
2018-02-09,58.658000,60.099600,56.836500,59.758700,15131984
2018-02-12,58.063800,58.853000,57.606000,58.784600,6074085
2018-02-13,57.888500,58.195300,57.157900,57.596200,4948329
2018-02-14,57.869000,58.073500,57.157900,57.586500,6742143
2018-02-15,57.693700,58.248900,57.440400,58.112500,7869659
2018-02-16,57.927400,58.351100,57.382000,57.567000,6828620
2018-02-20,58.482600,58.599500,57.693700,57.732600,5349124
2018-02-21,58.619000,59.768400,58.190400,58.258600,7203226
2018-02-22,58.404700,59.378800,58.317100,58.755400,23186947
2018-02-23,58.511900,58.930700,58.044300,58.677500,5612037
2018-02-26,57.479400,58.638500,56.953400,58.414500,11793260
2018-02-27,56.719600,58.083300,56.646500,57.450100,8559344
2018-02-28,55.852700,57.323500,55.852700,57.060500,9170481
2018-03-01,55.005200,56.115700,54.625400,55.852700,9758593
2018-03-02,55.044200,55.141600,53.641600,54.654600,8434967
2018-03-05,56.125400,56.393300,54.859100,54.859100,9483055
2018-03-06,56.524800,56.739100,55.594600,56.398200,5520443
2018-03-07,55.823500,56.700100,55.687100,56.067000,5873081
2018-03-08,54.810400,55.979300,54.089600,55.950100,12077602
2018-03-09,55.102700,55.467900,54.528000,55.209800,9719842
2018-03-12,55.141600,55.984200,54.956500,55.209800,7615569
2018-03-13,54.489000,55.492300,54.187000,55.297500,7670246
2018-03-14,53.813000,54.733900,53.499500,54.626100,8079298
2018-03-15,53.548500,54.057900,53.435900,53.813000,8167784
2018-03-16,53.195800,53.783600,52.931300,53.548500,11138337
2018-03-19,53.342800,53.651400,52.882300,53.264400,7014288
2018-03-20,54.498800,54.684900,53.489700,53.528900,9030109
2018-03-21,54.704500,55.248400,54.136300,54.498800,10173494
2018-03-22,53.695500,54.792700,53.617100,54.175500,9088198
2018-03-23,52.323900,54.195100,52.255400,53.881600,8215139
2018-03-26,53.107700,53.741800,52.715800,52.970500,6978068
2018-03-27,52.686400,53.862000,52.363100,53.264400,6637724
2018-03-28,53.411400,53.881600,52.397400,52.784400,6870570
2018-03-29,53.313400,53.666100,53.024400,53.460300,4537979
