Date,Close,High,Low,Open,Volume
2017-12-18,171.111900,173.530900,171.005100,172.782800,2799962
2017-12-19,171.821100,172.219400,170.397900,171.092500,2705000
2017-12-20,172.054300,174.055400,171.986300,172.530300,3246053
2017-12-21,171.636500,173.142300,171.422800,172.501100,2106367
2017-12-22,171.383900,172.423400,170.752500,171.578200,1477851
2017-12-26,171.063400,171.869700,170.490200,171.150800,1339225
2017-12-27,171.179900,172.219400,171.063400,171.403400,1403910
2017-12-28,170.247300,171.947400,170.062800,171.724000,1637727
2017-12-29,168.935900,171.034200,168.799900,170.247300,1948642
2018-01-02,171.947400,172.739600,169.441000,170.344500,2301141
2018-01-03,175.192000,176.261100,170.742800,171.860000,3083966
2018-01-04,174.453700,175.697200,173.647400,175.473800,2021054
2018-01-05,175.493200,175.716600,173.919400,175.677800,2211382
2018-01-08,175.444600,176.076100,173.336600,175.328100,2356166
2018-01-09,178.145300,179.262400,174.978300,175.376600,3031748
2018-01-10,177.640100,178.456100,175.221200,177.445800,2542692
2018-01-11,176.765800,177.640100,175.930400,177.640100,2101258
2018-01-12,179.757900,180.311600,176.562800,177.135000,3111445
2018-01-16,180.243600,182.099000,178.912700,180.321300,3374626
2018-01-17,182.643100,183.896300,180.593400,182.342000,4018235
2018-01-18,182.235100,183.177400,180.204800,182.094200,3084923
2018-01-19,183.876900,184.304300,182.244800,182.983100,3652314
2018-01-22,186.839800,187.072900,184.022600,184.314000,3579782
2018-01-23,186.509500,190.434200,186.130600,187.490700,3486666
2018-01-24,185.188300,187.432300,184.100300,187.247800,2765713
2018-01-25,184.654000,186.324900,183.507700,185.936300,2471001
2018-01-26,190.414700,191.182200,185.538000,185.596300,3920250
2018-01-29,192.347900,195.485700,190.065000,190.609000,4565702
2018-01-30,185.810000,190.859700,185.110600,190.579900,3990821
2018-01-31,180.739100,186.781500,179.379000,186.169500,4677703
2018-02-01,180.263000,181.496800,177.125200,179.719000,4078062
2018-02-02,181.671600,187.102100,177.785800,178.223000,7030078
2018-02-05,169.761600,183.214400,169.635300,181.487100,6922758
2018-02-06,171.607400,175.133800,167.129000,172.909100,7527691
2018-02-07,172.404000,175.823500,170.975900,171.218800,5715671
