Date,Close,High,Low,Open,Volume
2017-12-18,224.347000,226.718700,221.896200,225.582300,1441532
2017-12-19,225.305600,226.422300,222.795500,224.386500,1134317
2017-12-20,225.236400,228.458000,225.098000,225.305600,1109883
2017-12-21,222.429800,226.165300,222.311200,226.165300,934743
2017-12-22,222.943700,224.149300,221.034800,223.230300,1215518
2017-12-26,222.775700,224.258000,222.360700,223.012900,441253
2017-12-27,222.587900,223.675000,221.481100,223.546500,1237411
2017-12-28,224.366700,224.712600,222.350800,223.536600,703418
2017-12-29,222.360700,225.809500,222.153100,225.127700,857906
2018-01-02,223.339000,223.931900,221.115500,222.350800,1291425
2018-01-03,226.451900,226.842300,222.410100,225.187000,1302278
2018-01-04,227.499400,228.685300,226.165300,226.896600,1062980
2018-01-05,231.580800,231.778400,227.173300,227.479700,1427607
2018-01-08,229.090500,230.740800,228.008400,230.740800,1630822
2018-01-09,231.897000,232.697500,228.290000,229.090500,1777122
2018-01-10,231.136100,232.005700,229.337500,230.325800,851162
2018-01-11,232.233000,234.209500,231.146000,231.244800,1520365
2018-01-12,236.996300,237.569400,234.772800,236.314400,1916549
2018-01-16,238.903500,240.934400,237.747300,238.360000,1513841
2018-01-17,246.216400,247.095900,239.308700,240.148700,1712364
2018-01-18,246.710500,247.303500,244.101600,247.303500,1205673
2018-01-19,247.115700,247.728400,246.409100,247.698800,1523463
2018-01-22,247.550500,247.955700,245.080000,247.204600,1267381
2018-01-23,247.550500,247.728400,245.781600,247.520900,1007294
2018-01-24,250.011200,250.880800,247.105800,248.133600,1472839
2018-01-25,248.390500,251.411500,247.273800,249.932100,1075777
2018-01-26,255.150000,255.486000,247.165100,248.390500,1213291
2018-01-29,253.993800,255.990000,253.054900,253.667600,1975854
2018-01-30,240.573700,246.532700,236.660300,240.939300,4527895
2018-01-31,244.931700,264.795100,241.937400,257.146200,4063338
2018-02-01,241.057900,245.989100,239.061700,244.506800,2001670
2018-02-02,236.363800,240.968900,235.810400,239.200000,1380018
2018-02-05,227.736600,236.843100,225.127700,235.306400,2016395
2018-02-06,232.065000,233.567100,221.965400,223.161100,2347075
2018-02-07,235.632500,237.846100,229.970000,231.126200,2312331
2018-02-08,227.855200,237.421200,227.707000,235.217500,2362384
2018-02-09,228.981800,230.681500,222.686800,229.554900,2597160
2018-02-12,230.029300,231.689500,227.746500,229.940300,1790861
2018-02-13,230.701300,232.065000,226.659400,228.112100,1397867
2018-02-14,232.252800,232.954400,228.734700,228.981800,1500188
2018-02-15,229.327600,234.308300,226.630800,234.308300,1532815
2018-02-16,232.252800,233.517700,228.635900,228.635900,1086638
2018-02-20,229.485800,232.084800,228.892800,230.533300,998789
2018-02-21,229.298000,232.667800,229.268300,230.256600,967000
2018-02-22,230.928600,232.401000,229.268300,230.523400,1023480
2018-02-23,232.470200,232.786400,230.088600,232.213300,1052677
2018-02-26,235.415100,235.849900,231.590700,232.658000,974303
2018-02-27,234.417000,237.935100,234.249000,236.067300,1341496
2018-02-28,232.608600,236.867800,232.569000,234.673900,1593652
2018-03-01,229.307900,233.858700,226.600100,231.887100,1498414
2018-03-02,230.335600,231.017500,226.610000,228.161500,989788
2018-03-05,229.307900,230.167600,225.750300,229.100400,1244494
2018-03-06,230.009500,230.642000,227.341300,229.574700,991771
2018-03-07,229.130000,229.426500,227.282000,227.924400,972972
2018-03-08,226.829900,230.146200,225.412100,230.002500,1998743
2018-03-09,230.805500,231.291300,226.244900,228.465700,1957225
2018-03-12,227.890700,230.736100,227.285900,230.210700,1961969
2018-03-13,228.247600,229.903300,225.322900,228.971400,1783273
2018-03-14,227.067800,229.001100,226.155700,228.574800,1670607
