Date,Close,High,Low,Open,Volume
2017-12-18,47.683400,48.076400,46.710700,46.858000,4737974
2017-12-19,48.528400,49.255500,47.820900,48.007600,5714929
2017-12-20,49.845000,50.247900,48.538200,49.068800,7822096
2017-12-21,51.053500,51.957500,49.638700,49.638700,7677844
2017-12-22,52.006600,52.527400,51.033900,51.083000,5371727
2017-12-26,53.156200,53.500100,52.218400,52.271900,5258956
2017-12-27,52.841800,53.308500,52.812300,53.156200,3869314
2017-12-28,52.822100,53.116900,52.596200,52.841800,2665423
2017-12-29,52.704200,53.175900,52.497900,53.038300,2546284
2018-01-02,53.814500,53.893100,53.058000,53.185700,3829887
2018-01-03,53.814500,54.492500,53.696600,53.745700,4328261
2018-01-04,54.679200,54.698800,53.313400,53.981600,4500777
2018-01-05,54.060200,54.757800,53.613100,54.433500,3920786
2018-01-08,54.423700,54.590700,53.696600,54.011000,4765018
2018-01-09,54.551400,54.944500,54.281200,54.689000,4637033
2018-01-10,54.443400,55.534000,54.404100,54.639900,4625033
2018-01-11,57.479500,58.010000,54.610400,54.806900,11122228
2018-01-12,57.951100,58.137800,57.174900,57.793900,4907195
2018-01-16,57.528600,58.678200,57.489300,57.911800,6092529
2018-01-17,57.941300,58.486600,56.898400,57.725100,4472747
2018-01-18,57.273100,58.118100,57.057000,57.705400,4229556
2018-01-19,57.184700,57.450000,56.870300,57.017700,6056385
2018-01-22,59.660700,59.670600,57.184700,57.282900,6220088
2018-01-23,59.876900,60.299400,59.149900,59.788500,6338221
2018-01-24,60.358300,60.702200,59.670600,60.181500,5828912
2018-01-25,60.417300,60.761200,59.916200,60.407500,7888249
2018-01-26,60.761200,61.419500,60.230600,60.545000,5981721
2018-01-29,59.896500,61.262300,59.793400,60.368200,3379968
2018-01-30,58.707700,59.424900,57.931400,59.130200,5362427
2018-01-31,59.002400,59.307000,58.403100,58.707700,3910249
2018-02-01,60.299400,60.427100,59.002400,59.523200,4614176
2018-02-02,58.078800,59.749200,57.852800,59.533000,8902338
2018-02-05,55.858200,58.462000,55.543800,57.115900,8064603
2018-02-06,56.487100,56.555900,53.028500,54.973900,8742165
2018-02-07,57.695600,60.161800,56.663900,59.700000,12011935
2018-02-08,55.219600,58.737100,55.199900,58.039500,8008036
2018-02-09,55.150800,56.241400,52.908200,55.769800,8746600
2018-02-12,56.811300,57.669300,55.838600,56.005600,6654901
2018-02-13,56.182500,56.880100,55.779600,56.329900,4234710
2018-02-14,58.737100,58.894300,55.219600,55.416100,5783251
2018-02-15,58.579900,58.953300,57.518800,58.914000,5431858
2018-02-16,58.147600,59.066300,58.039500,58.304800,3857361
2018-02-20,58.216400,59.985000,58.127900,58.265500,5979258
2018-02-21,56.270900,58.648700,56.231600,58.206500,6568559
2018-02-22,57.263300,58.501300,56.663900,56.840800,4823311
2018-02-23,59.759000,59.926000,57.479500,57.862700,5063642
2018-02-26,59.346300,60.387800,58.864900,60.171700,4283420
2018-02-27,57.450000,59.346300,57.430300,59.159600,5515821
2018-02-28,56.044900,57.965800,56.025300,57.430300,5429619
2018-03-01,56.123500,56.821100,55.661700,56.192300,4270399
2018-03-02,56.447800,56.624600,55.062400,55.720700,6565576
2018-03-05,57.921600,58.314600,56.044900,56.241400,6540703
2018-03-06,57.784100,58.304800,57.332100,58.304800,3803490
2018-03-07,56.713100,58.108300,56.457600,57.224000,5257298
2018-03-08,56.084200,56.988200,55.642100,56.644300,4725076
2018-03-09,57.017700,57.361600,56.477300,56.575500,4359895
2018-03-12,57.951100,58.226200,56.860400,56.988200,4073431
2018-03-13,57.773500,58.710900,57.507100,58.306300,3111356
2018-03-14,58.138600,58.582600,57.803100,57.931300,4076724
2018-03-15,57.142000,59.076000,56.954500,58.454300,6348733
