Date,Close,High,Low,Open,Volume
2017-12-18,88.609400,89.520100,88.198200,88.883600,785636
2017-12-19,87.150400,88.893400,87.150400,88.893400,560817
2017-12-20,87.483300,87.982700,87.144600,87.267900,695659
2017-12-21,87.835900,88.217800,86.974100,87.356000,1094088
2017-12-22,88.629000,88.971800,87.777100,87.992500,640682
2017-12-26,88.540900,89.813900,88.482100,88.697600,795742
2017-12-27,88.952200,89.911800,88.374400,88.687800,907571
2017-12-28,89.716000,89.784500,88.609400,89.441800,855289
2017-12-29,89.588700,90.352400,89.441800,89.911800,802399
2018-01-02,87.228700,89.578900,86.748900,89.108800,1140208
2018-01-03,86.611800,87.571500,86.083100,86.670600,947297
2018-01-04,85.789300,86.974100,85.534700,86.435600,931758
2018-01-05,84.947200,86.200600,84.565300,85.955800,1141271
2018-01-08,85.681600,85.701200,84.996200,85.192000,1284302
2018-01-09,84.908000,85.715900,84.085500,85.681600,864397
2018-01-10,83.919000,84.712200,83.586100,84.712200,828976
2018-01-11,82.978900,83.223700,82.273900,83.096400,1394240
2018-01-12,79.150200,82.861400,78.895600,82.655800,4003734
2018-01-16,80.511300,81.862600,79.277500,79.561500,3111494
2018-01-17,80.795300,81.079300,80.276300,80.384000,1482198
2018-01-18,80.697400,81.402400,80.129400,80.756100,1561120
2018-01-19,81.284900,81.794100,80.668000,81.118400,1323868
2018-01-22,81.235900,82.009500,80.942200,81.715700,1317832
2018-01-23,82.450200,82.939800,81.108600,81.138000,1113950
2018-01-24,82.009500,82.733100,81.892000,82.450200,853493
2018-01-25,82.773300,82.851600,81.470900,82.224900,764845
2018-01-26,83.174800,83.233500,82.087800,82.890800,869541
2018-01-29,81.999700,82.890800,81.470900,82.890800,829815
2018-01-30,81.382800,82.283700,81.118400,81.206600,1030566
2018-01-31,81.441600,81.539500,80.805800,81.539500,1175213
2018-02-01,80.139200,81.769600,79.835600,81.549300,1334666
2018-02-02,79.532100,80.579900,79.316700,80.011900,1101786
2018-02-05,77.182000,79.845400,76.976300,79.316700,1883739
2018-02-06,77.728300,78.023600,75.592200,76.803000,2169607
2018-02-07,76.743900,78.496100,76.743900,77.767700,1268677
2018-02-08,74.873500,77.236100,74.853900,76.556900,1572047
2018-02-09,76.724200,77.452700,75.198400,75.415000,1775391
2018-02-12,76.704500,77.118000,75.867800,76.990000,1016930
2018-02-13,77.541300,77.698800,76.104000,76.615900,921193
2018-02-14,77.108100,77.590500,76.468300,76.881700,726330
2018-02-15,78.466600,78.476500,77.127800,77.206600,718145
2018-02-16,79.244300,79.795600,78.191000,78.446900,1012733
2018-02-20,78.604400,79.569100,78.328800,78.998200,1025979
2018-02-21,77.620000,79.795600,77.590500,77.807100,1250359
2018-02-22,77.511700,78.304200,77.039200,77.639700,988204
2018-02-23,79.372300,79.539600,77.580600,77.580600,655775
2018-02-26,79.539600,80.366500,79.323000,80.228700,804279
2018-02-27,78.712700,80.661800,78.486300,79.726600,986728
2018-02-28,78.122100,79.500200,78.122100,78.634000,1069318
2018-03-01,77.915300,79.116300,77.167200,78.043300,1233896
2018-03-02,77.649600,78.889900,76.930900,77.728300,1373786
2018-03-05,78.939100,79.618400,77.433000,77.501900,1992421
2018-03-06,78.446900,79.116300,78.269700,78.899700,1122522
2018-03-07,78.929300,79.264000,77.915300,78.191000,1061772
2018-03-08,79.539600,79.810300,78.998200,79.244300,947975
2018-03-09,80.090900,80.110600,79.204900,79.667600,665894
2018-03-12,80.917800,81.104800,80.051500,80.081000,959385
2018-03-13,79.490400,81.380400,79.372300,81.203200,916451
