Date,Close,High,Low,Open,Volume
2017-12-18,102.513500,102.902800,100.457500,101.146200,844821
2017-12-19,99.539200,102.666400,99.199900,102.254000,1334064
2017-12-20,98.401400,100.717000,97.842500,99.838700,1081813
2017-12-21,99.999300,100.388800,98.071800,98.381400,1089958
2017-12-22,100.418800,100.702000,99.579900,100.508700,1257605
2017-12-26,101.826900,102.615900,100.518600,100.668500,565122
2017-12-27,99.639800,101.587300,99.270300,101.587300,988503
2017-12-28,99.579900,99.779600,98.041900,99.729700,604645
2017-12-29,99.559900,100.858200,99.370200,99.719700,969168
2018-01-02,105.951600,107.789100,99.579900,100.768300,2624529
2018-01-03,106.910300,107.519500,105.162600,106.281100,2086814
2018-01-04,110.855100,111.383500,107.339700,107.609400,2104476
2018-01-05,112.033600,113.002300,110.156100,111.813900,1996658
2018-01-08,111.244600,112.143500,110.495600,111.903800,1257110
2018-01-09,110.345800,111.544200,109.666700,111.544200,1091423
2018-01-10,110.445700,111.853800,109.646700,110.126100,711429
2018-01-11,112.802600,113.272000,108.757900,110.555500,1015947
2018-01-12,115.788700,115.898600,112.872500,114.230700,1579194
2018-01-16,113.751400,116.687500,112.712700,116.607600,1498101
2018-01-17,115.199500,116.088300,112.832600,114.590300,1354175
2018-01-18,115.379200,115.708800,113.511700,115.519000,920874
2018-01-19,116.867300,117.356600,115.059600,116.088300,1169949
2018-01-22,117.876000,118.035800,115.748700,116.727500,1612108
2018-01-23,118.944600,118.984500,116.447800,117.586300,1276958
2018-01-24,120.832100,121.081800,118.105700,119.104400,1198596
2018-01-25,120.762200,121.181600,119.473900,120.961900,1250816
2018-01-26,123.478600,123.738300,121.501200,123.179000,1488390
2018-01-29,122.729600,123.468700,122.559800,123.358800,1403699
2018-01-30,119.114300,122.539900,117.421600,121.411300,1889671
2018-01-31,116.837300,120.312800,115.673800,119.703600,1235733
2018-02-01,117.136900,118.674900,115.678800,116.088300,760629
2018-02-02,113.781300,117.027100,112.977400,115.768700,1092333
2018-02-05,109.716600,114.820000,109.666700,112.902500,1281592
2018-02-06,112.053600,112.962400,106.605700,108.138700,1240784
2018-02-07,109.786500,114.430400,109.756600,111.943700,2163545
2018-02-08,109.486900,115.199500,109.157400,109.786500,1549881
2018-02-09,108.997600,110.305900,103.205100,110.245900,1577895
2018-02-12,109.337100,110.655400,107.909000,109.651700,1181363
2018-02-13,106.081400,109.846500,105.822700,109.027500,1392064
2018-02-14,108.877700,109.856400,105.122600,105.362300,1106655
2018-02-15,108.638000,110.136100,107.431900,109.087500,818447
2018-02-16,107.429600,109.197300,105.638000,108.578100,946725
2018-02-20,105.212500,108.238600,103.584600,107.259800,2369221
2018-02-21,113.851200,119.144300,113.082200,116.807400,5545204
2018-02-22,110.345800,115.349300,110.056200,114.949800,1465787
2018-02-23,116.168200,116.917200,110.930300,111.004900,1504193
2018-02-26,114.700100,117.586300,111.933700,116.348000,1409612
2018-02-27,109.656700,113.761300,108.757900,113.112200,2161269
2018-02-28,114.100900,115.958500,109.536900,110.565500,1901660
2018-03-01,117.356600,117.736200,113.282000,114.090900,2062471
2018-03-02,115.918500,116.637600,112.972400,116.517700,1462064
2018-03-05,116.208100,117.396600,114.969800,115.299300,1088501
2018-03-06,118.435200,118.884700,114.979800,116.387900,1003657
2018-03-07,116.617600,118.155600,115.648900,117.276800,708625
2018-03-08,115.598900,117.176900,114.390500,117.176900,672194
2018-03-09,118.704900,118.784800,114.250700,116.288000,1088300
