Date,Close,High,Low,Open,Volume
2017-12-18,58.601700,59.387500,58.359200,59.115800,1709749
2017-12-19,57.709200,58.863600,57.680100,58.708400,1536316
2017-12-20,56.933200,57.903300,56.884800,57.709200,1856419
2017-12-21,56.622800,57.088400,56.545200,56.768300,1649479
2017-12-22,56.933200,57.069000,56.768300,56.855600,1032697
2017-12-26,56.554900,57.214500,56.535500,56.962300,598069
2017-12-27,56.942900,56.991400,56.603400,56.933200,1081823
2017-12-28,57.379400,57.379400,56.826500,57.049600,1123151
2017-12-29,57.224200,57.660700,57.214500,57.466700,1192972
2018-01-02,56.642200,57.265500,56.419100,57.214500,1313803
2018-01-03,56.351200,56.884700,56.089200,56.419100,1373838
2018-01-04,55.710900,56.748900,55.604200,56.225000,1647477
2018-01-05,55.672100,56.079500,55.516900,55.895200,1321491
2018-01-08,56.331800,56.351200,55.565400,55.885500,964209
2018-01-09,55.604200,56.254100,55.516900,56.166800,1165284
2018-01-10,54.789300,55.371400,54.702000,55.274400,1017450
2018-01-11,54.469200,55.046400,54.217000,55.002800,1497655
2018-01-12,53.858100,54.508000,53.761100,54.284900,1385138
2018-01-16,53.799900,54.246100,53.188700,54.003600,1684912
2018-01-17,54.120000,54.265500,53.644700,53.974500,1600845
2018-01-18,53.732000,54.120000,53.276000,54.090900,1807659
2018-01-19,53.508900,54.115100,53.455500,53.945400,1450030
2018-01-22,53.644700,54.169100,53.605900,53.809600,1065589
2018-01-23,54.391600,54.692300,53.625300,53.654400,1351102
2018-01-24,54.071500,54.488600,54.003600,54.343100,2683579
2018-01-25,55.041600,55.148300,54.013300,54.071500,1849107
2018-01-26,55.216200,55.381100,54.575900,55.167700,1616584
2018-01-29,54.207300,54.934900,54.187900,54.896100,1270403
2018-01-30,54.411000,54.643800,54.061800,54.236400,1299637
2018-01-31,54.934900,55.041600,54.110300,54.440100,2066582
2018-02-01,53.557400,54.925200,53.314800,54.925200,3167081
2018-02-02,53.246900,53.751400,53.131000,53.266300,1440562
2018-02-05,52.529100,53.877500,52.393300,53.276000,1921642
2018-02-06,51.413500,52.053800,50.336700,51.917900,2420804
2018-02-07,51.597800,52.209000,51.219500,51.413500,2669942
2018-02-08,51.015800,52.674600,50.996400,51.432900,3938146
2018-02-09,53.761100,54.052100,51.462000,51.481400,4565129
2018-02-12,53.421600,53.780500,52.858900,53.761100,1789098
2018-02-13,53.596200,53.790200,52.695000,53.208100,1201565
2018-02-14,53.043200,53.615600,52.732800,53.246900,1410072
2018-02-15,54.575900,54.585600,53.130500,53.227500,2539122
2018-02-16,54.634100,55.148300,53.998700,54.711700,2605647
2018-02-20,53.431300,54.585600,53.159600,54.343100,2336507
2018-02-21,52.771600,53.790200,52.752200,53.382700,1740254
2018-02-22,52.955900,53.664100,52.606700,53.043200,1655249
2018-02-23,54.663200,54.702000,52.994700,53.062600,1993770
2018-02-26,54.081200,54.769500,53.722300,54.692300,1448296
2018-02-27,53.246900,54.614700,53.159600,54.255800,1838874
2018-02-28,52.674600,53.586500,52.655200,53.470100,1849336
2018-03-01,52.344800,53.198400,52.073200,52.655200,1844624
2018-03-02,52.412700,52.985000,51.869400,52.432100,1444483
2018-03-05,53.470100,53.664100,52.073200,52.325400,1915050
2018-03-06,52.325400,53.373000,52.252600,53.373000,1719637
2018-03-07,51.976200,52.383600,51.491100,52.160500,1800625
2018-03-08,52.247800,52.461200,51.976200,52.228400,1030295
2018-03-09,52.373900,52.441800,51.830600,52.209000,2057020
2018-03-12,52.781300,52.965600,52.479100,52.529100,1559290
2018-03-13,52.915800,53.463700,52.710400,52.964700,1602958
2018-03-14,53.444100,53.678900,53.013700,53.043000,2062995
2018-03-15,53.581100,54.226700,53.346300,53.473400,1513904
2018-03-16,54.285400,54.432200,53.678900,53.688700,2834365
2018-03-19,54.001700,54.578900,53.737600,54.275600,1135081
2018-03-20,53.933200,54.334300,53.796300,54.080000,975785
2018-03-21,53.708200,54.676700,53.581100,54.070200,1126738
