Date,Close,High,Low,Open,Volume
2017-12-18,10.516600,10.559800,10.305300,10.353300,11128388
2017-12-19,10.228500,10.545400,10.199600,10.507000,11735353
2017-12-20,10.161200,10.242900,10.017200,10.228500,7972623
2017-12-21,10.199600,10.257300,10.046000,10.170800,6183921
2017-12-22,10.286100,10.305300,10.161200,10.190000,3625379
2017-12-26,10.218900,10.410900,10.199600,10.324500,3204073
2017-12-27,10.247700,10.314900,10.185200,10.257300,3006210
2017-12-28,10.334100,10.343700,10.190000,10.286100,3365767
2017-12-29,10.401300,10.444600,10.314900,10.343700,4774338
2018-01-02,10.449400,10.487800,10.353300,10.439800,4564609
2018-01-03,10.439800,10.535800,10.362900,10.420500,6181224
2018-01-04,10.401300,10.535800,10.401300,10.410900,5149992
2018-01-05,10.439800,10.487800,10.353300,10.430200,5388218
2018-01-08,10.439800,10.497400,10.396500,10.468600,6689072
2018-01-09,10.334100,10.478200,10.324500,10.401300,9311659
2018-01-10,10.353300,10.372500,10.218900,10.305300,5026242
2018-01-11,10.526200,10.550200,10.324500,10.343700,8242730
2018-01-12,10.603000,10.694300,10.468600,10.535800,8527359
2018-01-16,10.257300,10.679900,10.247700,10.660700,12412784
2018-01-17,10.295700,10.420500,10.276500,10.343700,7138257
2018-01-18,11.073600,11.477000,10.910400,11.342500,30169704
2018-01-19,11.284900,11.284900,11.035200,11.131300,15030341
2018-01-22,10.929600,11.342500,10.833500,11.332900,17730224
2018-01-23,10.968000,11.112000,10.833500,10.852700,10852633
2018-01-24,10.718300,10.958400,10.622200,10.939200,14293176
2018-01-25,11.035200,11.044800,10.699100,10.708700,11566646
2018-01-26,11.256100,11.275300,11.035200,11.092800,9121139
2018-01-29,11.342500,11.448200,11.145700,11.217700,12887417
2018-01-30,11.150500,11.381000,11.112000,11.313700,12587803
2018-01-31,11.228200,11.301000,11.179600,11.218500,24509153
2018-02-01,11.179600,11.335000,11.131000,11.257300,6781029
2018-02-02,10.800800,11.160200,10.791100,11.024200,10120041
2018-02-05,10.295700,10.800800,10.237400,10.791100,15763864
2018-02-06,10.276300,10.334600,9.858600,10.101500,11696040
2018-02-07,10.179200,10.470600,10.164600,10.295700,8786251
2018-02-08,9.771200,10.150000,9.761500,10.140300,13049456
2018-02-09,9.907200,9.984900,9.581800,9.839200,10305190
2018-02-12,9.975200,10.038300,9.742100,9.936300,9008788
2018-02-13,10.023800,10.091800,9.868400,9.965500,6312210
2018-02-14,9.975200,10.033500,9.848900,9.936300,5931479
2018-02-15,10.218000,10.218000,10.023800,10.062600,7138479
2018-02-16,10.150000,10.305400,10.130600,10.140300,5665558
2018-02-20,10.101500,10.237400,10.062600,10.091800,7467373
2018-02-21,9.936300,10.264000,9.936300,10.140300,5365639
2018-02-22,10.004300,10.130600,9.955800,9.965500,6706846
2018-02-23,10.188900,10.218000,10.028600,10.062600,4672313
2018-02-26,10.150000,10.237400,10.052900,10.208300,10759889
2018-02-27,10.897900,10.927100,10.266600,10.441400,22078348
2018-02-28,10.558000,10.995100,10.548300,10.956200,10198403
2018-03-01,10.645400,10.946500,10.577400,10.606500,9875404
2018-03-02,10.548300,10.684200,10.392900,10.587100,7723567
2018-03-05,10.664800,10.674500,10.490000,10.587100,12072514
2018-03-06,10.616300,10.776500,10.519200,10.723100,8263142
2018-03-07,10.490000,10.606500,10.402600,10.558000,7118294
2018-03-08,10.528800,10.626000,10.519100,10.528800,5443754
2018-03-09,10.538500,10.548300,10.344300,10.548300,5797318
2018-03-12,10.431700,10.567700,10.315200,10.538500,7481003
2018-03-13,10.363700,10.519100,10.315200,10.480300,5786389
2018-03-14,10.392900,10.470600,10.344300,10.392900,4334815
2018-03-15,10.383100,10.456000,10.188900,10.383100,9498865
2018-03-16,10.528800,10.596800,10.392900,10.422000,7325794
2018-03-19,10.460800,10.587100,10.392900,10.567700,5646648
2018-03-20,10.402600,10.548300,10.324900,10.490000,6359660
2018-03-21,10.490000,10.635700,10.363700,10.412300,5687933
2018-03-22,10.509400,10.718200,10.383100,10.490000,7888924
2018-03-23,10.412300,10.703700,10.373400,10.596800,6536184
2018-03-26,10.528800,10.577400,10.349100,10.451100,5769714
2018-03-27,10.635700,10.791100,10.509400,10.528800,6993555
2018-03-28,10.907600,10.907600,10.626000,10.664800,12332949
2018-03-29,11.043600,11.101900,10.825100,10.917400,8712918
2018-04-02,11.043600,11.135900,10.902800,11.053300,13767457
2018-04-03,11.169900,11.189300,10.868800,11.024200,8743008
2018-04-04,11.063000,11.228200,10.970800,11.121300,12904945
2018-04-05,11.169900,11.237900,10.985300,11.082500,6277399
2018-04-06,11.092200,11.228200,11.067900,11.140800,6935153
2018-04-09,11.063000,11.184500,11.004800,11.092200,6087302
2018-04-10,11.101900,11.179600,11.043600,11.179600,4516299
2018-04-11,11.092200,11.169900,11.048500,11.053300,3826300
2018-04-12,10.965900,11.101900,10.927100,11.082500,5565302
2018-04-13,11.014500,11.092200,10.980500,11.004800,2556298
2018-04-16,11.237900,11.247600,11.033900,11.082500,6429222
2018-04-17,11.403000,11.490400,11.131000,11.237900,6433661
2018-04-18,11.412700,11.466100,11.369000,11.441900,6396768
2018-04-19,11.412700,11.432100,11.305900,11.383600,4225802
2018-04-20,11.286400,11.403000,11.247600,11.403000,3287324
2018-04-23,11.519600,11.577800,11.296200,11.335000,8928879
2018-04-24,11.655500,11.762400,11.490400,11.519600,8287812
2018-04-25,11.684700,11.704100,11.558400,11.607000,5840609
2018-04-26,11.820700,11.898400,11.655500,11.713800,5236800
2018-04-27,11.956600,12.092600,11.791500,11.810900,6476796
2018-04-30,12.015500,12.081100,11.946800,11.986100,7833515
2018-05-01,11.986100,12.035200,11.873200,12.025400,5700349
2018-05-02,11.966500,12.074400,11.907600,11.946800,7816413
2018-05-03,12.074400,12.094100,11.829000,11.966500,5957628
2018-05-04,12.103900,12.172600,12.015500,12.054800,3365666
2018-05-07,12.143200,12.153000,11.966500,12.094100,13131851
2018-05-08,11.514900,11.946800,11.446200,11.927200,15873744
2018-05-09,11.848700,11.868300,11.551700,11.652300,8094407
2018-05-10,12.084300,12.094100,11.849600,11.878100,4207719
2018-05-11,12.064600,12.153000,12.015500,12.113700,3981608
2018-05-14,12.123500,12.177500,12.064600,12.094100,5406736
2018-05-15,12.074400,12.113700,11.995900,12.074400,6206106
2018-05-16,12.054800,12.094100,11.887900,11.966500,5026025
2018-05-17,11.829000,12.094100,11.784800,12.054800,8142784
2018-05-18,11.711200,11.841300,11.585400,11.838800,6871629
2018-05-21,11.838800,11.907600,11.721000,11.770100,5888392
2018-05-22,11.976300,12.030300,11.873200,11.897700,5303973
2018-05-23,11.966500,12.000800,11.848700,11.907600,5047909
2018-05-24,12.162800,12.202100,11.927200,11.995900,4152310
2018-05-25,12.182400,12.270800,12.133300,12.162800,3671726
2018-05-29,12.182400,12.261000,12.074400,12.143200,5008915
2018-05-30,12.437700,12.476900,12.123500,12.202100,7856229
2018-05-31,12.516200,12.624200,12.388600,12.388600,6844898
2018-06-01,12.555500,12.599600,12.398400,12.476900,6194939
2018-06-04,12.692900,12.845000,12.575100,12.624200,8255281
2018-06-05,12.692900,13.007000,12.634000,12.761600,13218760
2018-06-06,12.280600,12.742000,12.241300,12.722300,7097834
2018-06-07,12.486700,12.555500,12.280600,12.300200,6098214
2018-06-08,12.535800,12.535800,12.368900,12.476900,5656600
2018-06-11,12.594700,12.663400,12.418000,12.565300,3889263
2018-06-12,12.800900,12.830300,12.575100,12.624200,6081355
2018-06-13,12.889200,12.918700,12.810700,12.859800,6413683
2018-06-14,12.938300,13.100300,12.840100,12.938300,7081347
2018-06-15,12.830300,13.036500,12.643800,12.889200,9932420
2018-06-18,12.830300,12.918700,12.761600,12.810700,5218282
2018-06-19,12.840100,12.957900,12.722300,12.840100,9251358
2018-06-20,12.692900,12.899000,12.604500,12.850000,7131925
2018-06-21,12.653600,12.756700,12.634000,12.712500,4496334
2018-06-22,12.624200,12.732200,12.584900,12.712500,7981058
2018-06-25,12.634000,12.683100,12.535800,12.624200,4960399
2018-06-26,12.967800,12.997200,12.584900,12.663400,8508380
2018-06-27,12.997200,13.169000,12.855100,12.908900,7917235
2018-06-28,13.262200,13.306400,13.007000,13.046300,9042920
2018-06-29,13.164100,13.281900,13.011900,13.262200,6384240
2018-07-02,12.899000,12.899000,12.575100,12.810700,7761348
2018-07-03,12.771400,12.938300,12.722300,12.918700,3847243
2018-07-05,12.732200,12.732200,12.565300,12.712500,5292162
2018-07-06,12.761600,12.800900,12.683100,12.722300,5500723
2018-07-09,12.398400,12.761600,12.339500,12.761600,7724875
2018-07-10,12.604500,12.663400,12.319900,12.359100,9155854
2018-07-11,12.791100,12.874500,12.594700,12.614400,6661924
2018-07-12,12.859800,12.899000,12.742000,12.820500,4562641
2018-07-13,12.938300,12.948100,12.845000,12.879400,3717368
2018-07-16,12.889200,12.967800,12.869600,12.938300,3590765
2018-07-17,12.614400,12.879400,12.594700,12.859800,9094348
2018-07-18,12.496600,12.624200,12.476900,12.614400,9829837
2018-07-19,12.791100,12.869600,12.486700,12.486700,8820289
2018-07-20,12.791100,12.840100,12.722300,12.791100,3414273
2018-07-23,12.830300,12.918700,12.683100,12.781200,6032600
2018-07-24,12.869600,12.938300,12.683100,12.850000,5683175
2018-07-25,13.154300,13.164100,12.889200,12.908900,10612172
2018-07-26,13.154300,13.331000,13.085500,13.193500,6653096
2018-07-27,13.124800,13.237700,13.065900,13.203300,5321973
2018-07-30,13.056100,13.213200,13.046300,13.134600,7106903
2018-07-31,13.115000,13.213200,13.016800,13.056100,10961260
2018-08-01,13.223000,13.340800,13.095400,13.115000,9492522
2018-08-02,13.431100,13.441100,13.153600,13.163500,10164775
2018-08-03,13.569900,13.619500,13.361800,13.421200,8038038
2018-08-06,13.698800,13.748300,13.589700,13.629400,8094856
2018-08-07,13.510400,13.678900,13.113900,13.153600,7520689
2018-08-08,13.827600,13.872200,13.569900,13.669000,7915941
