Date,Close,High,Low,Open,Volume
2017-12-18,130.247500,130.967400,129.310700,129.803700,1387573
2017-12-19,130.188300,131.144900,129.774200,130.286900,1047123
2017-12-20,129.507900,130.967400,129.478300,130.661700,832288
2017-12-21,126.865100,130.139000,126.687600,129.862900,1102100
2017-12-22,127.496200,127.663800,126.224100,126.589000,781521
2017-12-26,127.249700,127.604700,126.283300,127.446900,327031
2017-12-27,126.648100,127.801900,126.401600,127.210200,667782
2017-12-28,126.667900,127.022900,125.597900,126.766500,998225
2017-12-29,126.115600,127.407500,125.750800,126.983400,714604
2018-01-02,129.705100,130.079900,126.707300,127.141200,1118561
2018-01-03,129.961500,132.081700,128.807800,130.208000,1042125
2018-01-04,128.413300,131.115300,128.304800,130.415100,820939
2018-01-05,129.892500,130.947600,128.699300,129.221900,807161
2018-01-08,135.543000,136.746100,131.726800,132.436700,1945185
2018-01-09,133.560900,136.065600,133.136800,135.612000,1198130
2018-01-10,131.115300,133.373500,130.454600,133.235500,884639
2018-01-11,132.821300,132.889300,130.760300,131.450600,838380
2018-01-12,131.667500,133.925700,131.243500,133.452400,990097
2018-01-16,126.224100,132.998800,123.956000,132.249300,2879578
2018-01-17,125.188700,127.654000,124.254700,127.407500,2016991
2018-01-18,116.274100,117.102400,110.978600,113.601700,8622302
2018-01-19,114.400500,117.743400,113.897500,117.250400,4275098
2018-01-22,111.954900,114.321600,111.491400,114.173600,3648008
2018-01-23,111.432200,113.404500,110.564500,112.724000,2972124
2018-01-24,110.840500,112.576100,110.485500,112.418300,2727521
2018-01-25,115.278100,115.317500,111.096900,111.096900,2499828
2018-01-26,112.822700,116.180400,112.428200,115.376700,1916729
2018-01-29,110.130500,112.872000,109.765700,112.645100,2250814
2018-01-30,109.824800,112.161900,109.509300,110.820800,2146009
2018-01-31,110.041800,110.525000,108.720400,110.298200,2606203
2018-02-01,107.684900,110.022100,107.448300,109.381100,1962034
2018-02-02,104.046100,107.606000,103.464300,107.014400,2738581
2018-02-05,103.691100,108.375200,101.423000,102.833200,3837970
2018-02-06,106.048000,107.014300,101.876700,102.073900,2903894
2018-02-07,105.150600,107.961100,105.081600,105.969100,1668253
2018-02-08,103.720700,107.191900,103.681300,105.456300,2377485
2018-02-09,106.225500,107.201700,102.310600,104.529300,2573841
2018-02-12,110.041800,110.594000,107.497600,107.763800,2637077
2018-02-13,106.945300,111.037800,106.584400,110.051600,2763450
2018-02-14,110.170000,110.603900,105.150600,105.693000,2052269
2018-02-15,113.019900,113.059300,109.834700,110.870100,1760152
2018-02-16,110.682800,113.000200,110.406600,112.773300,1669248
2018-02-20,112.990300,113.789100,110.446100,110.446100,1431724
2018-02-21,111.442100,114.883700,111.304000,113.749600,1775001
2018-02-22,112.102800,113.157800,111.585100,112.300000,1021920
2018-02-23,117.102400,117.181300,114.006000,114.232800,2142290
2018-02-26,108.572400,113.305900,105.633800,112.763500,7151964
2018-02-27,110.022100,111.530800,109.026100,109.026100,2665690
2018-02-28,99.036600,111.333600,97.557400,111.037800,6717188
2018-03-01,94.677900,99.904400,93.386100,99.865000,7170806
2018-03-02,93.701700,94.520200,89.234500,94.362400,5718042
2018-03-05,95.102000,96.305000,92.202800,92.912800,2503289
2018-03-06,98.750600,99.490200,96.433200,97.034800,3587430
2018-03-07,98.661900,99.225900,97.212300,97.626500,1567896
2018-03-08,97.902600,99.943800,97.281300,98.770400,1274365
2018-03-09,100.348200,100.999000,97.705300,98.326600,1510621
2018-03-12,101.561100,102.527500,100.190400,100.575000,1508963
2018-03-13,101.699200,102.941700,101.127200,101.571000,1373073
2018-03-14,99.260400,103.198000,99.032900,102.030600,1965720
2018-03-15,97.024500,99.854000,96.806900,99.458300,1506883
2018-03-16,97.321300,97.756600,95.471300,96.866200,2101782
2018-03-19,95.876900,96.955300,94.790600,96.529900,1186260
2018-03-20,94.303800,95.926400,92.997900,95.926400,3660049
2018-03-21,96.430900,97.717100,93.601400,94.660000,1780347
2018-03-22,93.106700,96.658500,93.047400,95.283300,1536165
2018-03-23,92.246000,94.561100,92.038300,92.997900,1356673
2018-03-26,93.354100,94.313700,92.147100,93.561800,1691644
2018-03-27,92.434000,94.729300,91.820600,93.769600,1644717
2018-03-28,88.605200,92.839600,88.330200,92.434000,2906311
2018-03-29,91.751300,92.691200,89.090000,89.495700,2275749
2018-04-02,88.011600,91.464400,87.685200,91.068700,1919757
2018-04-03,89.456100,89.683600,86.626600,88.625000,1883826
2018-04-04,90.623500,90.663100,85.825200,86.844200,2281030
2018-04-05,94.749000,97.440000,90.880700,91.296200,2884327
2018-04-06,90.821400,94.600600,90.257400,93.502500,2707922
2018-04-09,90.247500,91.781000,89.812200,91.781000,1161478
2018-04-10,91.345700,92.631900,90.702600,91.880000,1480307
2018-04-11,92.315300,92.988000,90.237700,90.860900,1072775
2018-04-12,92.394400,93.087000,91.335800,92.651600,1185371
2018-04-13,94.481900,95.411900,93.433200,95.115100,1999271
2018-04-16,95.837300,96.534600,93.532200,95.421800,1415807
2018-04-17,95.599900,96.915600,94.818300,96.599100,1164197
2018-04-18,97.736800,98.716300,96.015500,96.223200,1145685
2018-04-19,97.539000,98.637100,95.886800,97.944600,1526433
2018-04-20,96.707900,97.266900,96.069800,97.182800,912310
2018-04-23,96.302300,97.449900,95.995600,96.628800,804855
2018-04-24,94.758900,97.449900,93.106700,96.806900,1328573
2018-04-25,94.442300,95.194200,93.472800,94.778700,870795
2018-04-26,95.520700,96.272600,93.551900,94.818300,1030420
2018-04-27,95.916500,96.618900,95.115100,95.382200,857223
2018-04-30,95.926400,97.786300,95.679000,95.926400,1441949
2018-05-01,96.579300,96.579300,94.640200,95.243700,1221587
2018-05-02,96.797000,98.706400,96.520000,96.559500,1398328
2018-05-03,96.846400,98.182100,95.481200,96.806900,1384027
2018-05-04,98.993300,99.705600,96.480500,96.569400,1294627
2018-05-07,99.042800,101.288600,98.627300,99.042800,1388214
2018-05-08,99.646300,100.309100,98.439300,98.933900,1680616
2018-05-09,100.665300,101.673400,99.102100,100.635600,1934866
2018-05-10,97.341100,100.803800,95.609800,100.378400,3860677
2018-05-11,97.489500,97.974300,96.717800,96.955300,1683234
2018-05-14,98.182100,100.051900,97.924800,98.241400,1525206
2018-05-15,99.735300,100.665300,96.984900,98.023800,1728376
2018-05-16,101.258900,101.803000,99.991000,100.071700,1545807
2018-05-17,103.682800,104.741400,101.407300,101.526000,2770397
2018-05-18,103.801500,105.166800,103.039700,103.880600,2305822
2018-05-21,102.960600,105.265700,102.406500,104.375300,1853949
2018-05-22,101.249000,104.019200,101.041200,103.425600,1034258
2018-05-23,100.754300,101.160000,99.725400,100.259700,907212
2018-05-24,94.007000,98.904300,93.937800,98.518400,3516922
2018-05-25,93.809200,94.293900,92.374600,93.393600,1742042
2018-05-29,92.038300,93.779500,91.622700,93.571700,1612172
2018-05-30,92.592300,93.443100,92.008600,92.592300,1241027
2018-05-31,92.473600,93.314500,92.255900,92.562600,1430047
2018-06-01,93.255100,94.062400,92.503200,92.503200,1242808
2018-06-04,93.433200,93.987300,92.829700,93.561800,962280
2018-06-05,93.641000,94.318700,93.279900,93.492600,973273
2018-06-06,94.650100,94.660000,92.948400,93.789400,1738079
2018-06-07,94.204900,95.402000,93.680600,94.620400,887529
2018-06-08,94.353300,94.778900,93.631100,94.185100,1044249
2018-06-11,94.353300,95.352500,93.621200,94.432500,815815
2018-06-12,94.719400,96.707900,94.343400,96.074800,1584642
2018-06-13,93.176000,95.006300,93.096800,94.808400,1598200
2018-06-14,92.992300,94.288000,92.684500,93.518500,1148198
2018-06-15,92.664700,92.952600,91.542700,92.466100,1698922
2018-06-18,92.207900,92.476000,91.622100,92.446200,1675556
2018-06-19,90.748400,91.215100,89.596700,91.155500,1841110
2018-06-20,90.956900,91.969700,90.659100,91.423600,1333691
2018-06-21,91.314400,91.895400,90.599500,90.758400,1319731
2018-06-22,92.793700,92.952600,91.503000,91.721400,1449961
2018-06-25,91.304400,94.293000,90.639200,92.982400,1414901
2018-06-26,91.860400,92.436300,91.234900,91.671800,1070704
2018-06-27,92.744100,95.640700,92.605100,93.071700,1967828
2018-06-28,92.972500,93.091600,91.840600,92.585200,943660
2018-06-29,93.657500,96.258900,93.131300,93.459000,1768350
2018-07-02,92.813600,94.114300,92.317200,93.270300,1182361
2018-07-03,95.931200,97.122700,95.196500,95.970900,1726525
2018-07-05,94.104300,96.675900,92.634900,96.189400,1850864
2018-07-06,94.858900,95.583700,93.171000,93.707200,1171890
2018-07-09,95.295800,95.833900,94.799300,95.067400,1003615
2018-07-10,95.127000,96.149600,94.362500,95.295800,1124631
2018-07-11,94.005000,94.531300,93.429200,94.322800,1173253
2018-07-12,94.670300,95.603600,94.193700,95.285800,996636
2018-07-13,94.888700,95.315600,94.183800,94.819200,847862
2018-07-16,94.283000,95.029900,93.995100,94.809300,2343218
2018-07-17,96.278700,96.596400,93.827300,94.173800,1103944
2018-07-18,96.050400,97.162400,95.375200,96.219100,1394591
2018-07-19,95.524100,95.861200,94.362500,95.305700,975973
2018-07-20,93.230600,95.027700,92.893000,94.978100,1811142
2018-07-23,90.271800,93.071700,89.378300,93.071700,2490809
2018-07-24,90.252000,91.771100,90.013700,91.185300,1318408
2018-07-25,91.135600,91.274600,89.666200,89.894600,1115607
2018-07-26,92.396600,92.764000,90.480300,91.244900,1209044
2018-07-27,92.595200,93.468900,91.354200,92.605100,902519
2018-07-30,91.761200,92.595200,90.966900,92.595200,1272222
2018-07-31,93.528500,93.856100,91.651900,91.969700,989524
2018-08-01,90.361200,93.488600,89.447800,93.329900,1763089
2018-08-02,91.364000,91.701600,89.437800,90.003800,1494877
2018-08-03,91.949800,92.248200,91.157500,91.602300,786737
2018-08-06,91.999400,92.267500,91.225000,91.642000,1110060
2018-08-07,92.148400,93.061800,91.939900,92.337000,1603559
2018-08-08,98.065900,99.773600,95.831900,96.715600,5222558
2018-08-09,100.041700,102.374900,97.917000,98.443200,3463892
2018-08-10,97.797800,100.081400,97.509900,99.336800,1340089
2018-08-13,94.948300,97.718300,94.868800,97.430400,2110936
2018-08-14,96.636100,96.725500,94.918500,95.067400,1152948
2018-08-15,94.858900,96.010600,92.873200,95.484400,1930581
2018-08-16,96.368100,97.450300,95.802100,95.802100,1116896
2018-08-17,94.759600,96.030500,93.607900,95.921300,1334868
2018-08-20,94.858900,95.643300,94.640500,94.918500,1129701
2018-08-21,94.163900,94.930900,93.761800,94.789400,1384282
2018-08-22,93.856100,94.670300,93.622800,94.322800,1236342
2018-08-23,93.101500,93.925600,91.751200,93.826300,3337389
2018-08-24,95.315600,96.283700,93.329900,93.588000,1612675
2018-08-27,96.199300,97.291400,95.414900,95.613500,883898
2018-08-28,96.248900,97.410600,95.692900,96.248900,1058280
2018-08-29,96.030500,96.526900,94.893700,96.109900,753803
2018-08-30,94.372400,95.772400,93.885800,95.504300,985167
2018-08-31,94.839100,95.742600,93.776700,94.034800,762929
2018-09-04,95.881600,96.884400,94.332700,96.308500,1488365
2018-09-05,95.762400,96.169500,94.379600,95.881600,1333764
2018-09-06,96.963800,97.787900,95.946100,96.000700,1355709
2018-09-07,96.497100,97.271600,95.097200,96.209200,1280108
2018-09-10,96.695700,97.221900,96.139700,96.725500,1227154
2018-09-11,98.135400,98.751000,95.707600,96.387900,1536388
2018-09-12,98.751000,99.366500,97.450300,98.115500,1221044
2018-09-13,100.230400,100.858000,99.224200,99.483200,1415811
2018-09-14,100.519300,101.166800,99.094700,100.489400,1250369
2018-09-17,102.063400,103.099500,100.250300,100.519300,1769549
2018-09-18,102.671100,102.785700,100.848000,102.063400,1301455
2018-09-19,105.091900,105.948700,102.945100,102.960000,1644830
2018-09-20,106.197800,106.596200,105.016100,105.201500,1523434
2018-09-21,105.022200,107.014700,104.145500,106.566400,2066854
2018-09-24,104.544000,105.699600,104.067300,104.743300,1230626
2018-09-25,102.143100,105.051400,101.933900,104.902700,1454815
2018-09-26,100.937700,102.192900,100.748400,101.694800,1491499
2018-09-27,100.569100,101.376000,99.353700,101.027300,1079086
2018-09-28,99.403500,100.778300,99.338700,100.359900,1421022
2018-10-01,100.459500,100.748400,99.722300,100.290100,759581
2018-10-02,101.465700,101.625100,100.190500,100.758400,1035501
2018-10-03,103.647400,104.603800,101.386000,101.645000,1352366
2018-10-04,103.826700,104.314900,102.222800,103.607600,1168117
2018-10-05,102.671100,104.852900,101.585200,103.767000,1521004
2018-10-08,101.864200,102.133200,100.145700,101.744600,2145833
2018-10-09,96.912900,100.818100,96.604100,100.818100,2716244
2018-10-10,95.309000,96.982700,95.119700,96.873100,1833336
2018-10-11,94.003900,96.036200,93.675200,94.243000,1614218
2018-10-12,94.731200,95.757300,93.754900,95.219300,1048213
2018-10-15,95.687600,96.345100,94.741200,94.800900,759176
2018-10-16,96.773500,97.047400,95.040000,96.106000,993390
2018-10-17,95.956500,96.992600,95.727400,96.115900,1183059
2018-10-18,95.309000,96.484500,94.193200,95.876900,1202425
2018-10-19,95.269200,95.926700,94.711300,95.199400,880271
2018-10-22,96.893000,97.650100,95.020100,95.906700,1317780
2018-10-23,95.797200,96.414800,93.406200,95.269200,1497988
