Date,Close,High,Low,Open,Volume
2017-12-18,81.754900,82.626300,81.626200,82.071800,855951
2017-12-19,79.289200,81.665800,79.259500,81.665800,1188703
2017-12-20,80.210100,80.665600,79.254500,79.606100,981325
2017-12-21,80.210100,80.952800,80.121000,80.675500,613849
2017-12-22,79.556600,81.259800,79.467400,80.309200,348199
2017-12-26,79.606100,79.982400,79.229800,79.507100,251455
2017-12-27,79.219900,79.982400,79.210000,79.873400,479320
2017-12-28,78.784200,79.927400,77.902900,79.467400,1124103
2017-12-29,78.784200,79.507100,78.051400,79.219900,662893
2018-01-02,79.130800,79.289200,78.417800,79.289200,645412
2018-01-03,79.467400,80.122100,78.883200,79.437700,1117395
2018-01-04,80.576500,80.690400,79.566500,79.833800,1211672
2018-01-05,80.774600,81.641000,80.309200,80.982500,851091
2018-01-08,80.447800,80.903300,80.130900,80.556700,539096
2018-01-09,82.121300,83.081900,80.368600,80.754800,925557
2018-01-10,81.794500,82.537200,81.329100,81.953000,851544
2018-01-11,83.557200,83.725500,81.794500,81.794500,987916
2018-01-12,84.210700,84.438500,82.943200,83.497800,904205
2018-01-16,83.250200,85.161400,82.820800,84.478100,652751
2018-01-17,83.388800,83.814600,82.735300,83.814600,741002
2018-01-18,83.230400,83.903800,82.933300,83.478000,554452
2018-01-19,85.389100,85.438600,83.161100,83.567100,890243
2018-01-22,84.963300,85.250500,83.735400,85.022700,477538
2018-01-23,84.517700,84.824700,83.884000,84.824700,675667
2018-01-24,84.745500,85.735700,84.091900,84.884100,487044
2018-01-25,84.517700,85.458400,84.171100,85.210900,345438
2018-01-26,85.527800,85.562400,84.517700,85.012800,594863
2018-01-29,85.834700,86.220900,85.319800,85.458400,590718
2018-01-30,84.606800,85.795100,84.606800,85.339600,527312
2018-01-31,85.270300,85.972400,84.676200,84.795000,902450
2018-02-01,84.339500,86.141700,83.963200,85.002900,528543
2018-02-02,81.051800,83.778600,80.626000,83.646300,896471
2018-02-05,78.338600,81.547000,78.239500,80.695400,962300
2018-02-06,79.328800,80.140800,76.011500,76.892800,1132197
2018-02-07,79.180300,80.408200,78.962400,78.962400,578408
2018-02-08,76.566000,79.457500,76.486800,79.140700,894005
2018-02-09,77.724600,78.249400,75.407400,77.447300,1267433
2018-02-12,78.972300,79.616000,78.209000,78.378200,1010618
2018-02-13,78.873300,79.616000,78.170200,78.695100,623258
2018-02-14,79.190200,79.715000,77.977100,78.160300,1074848
2018-02-15,81.457800,81.764800,79.734800,80.012100,685496
2018-02-16,81.913400,82.720400,81.051800,81.388500,692292
2018-02-20,84.824700,87.547900,84.468200,85.369300,1657002
2018-02-21,85.874400,87.082500,84.606800,85.290100,1168828
2018-02-22,85.201000,87.429000,84.735600,86.419000,1061865
2018-02-23,85.329700,86.240700,84.993000,85.656500,798560
2018-02-26,86.993300,87.141900,85.131700,85.706000,1002920
2018-02-27,86.121900,86.993300,85.844600,86.755700,1218552
2018-02-28,83.289800,86.201100,83.279900,86.181300,1142504
2018-03-01,81.269700,84.091900,81.061700,83.329400,957412
2018-03-02,81.428100,81.626200,79.804100,80.804300,630085
2018-03-05,82.200500,82.497600,80.626000,80.824100,559738
2018-03-06,83.101700,83.547300,81.903500,82.279700,706807
2018-03-07,83.111600,83.329400,82.190600,82.458000,450479
2018-03-08,83.933500,84.329600,83.339300,83.606700,542111
2018-03-09,86.359600,86.448700,84.418700,84.418700,705529
2018-03-12,86.547700,86.924500,86.196200,86.666600,621851
2018-03-13,85.250500,87.132000,84.448400,86.844800,644466
2018-03-14,84.734300,85.776600,84.615200,85.776600,294409
2018-03-15,84.853400,85.200900,84.168500,84.903100,313973
2018-03-16,85.250500,85.637600,84.635000,84.744200,676617
2018-03-19,84.625100,85.334900,83.860800,85.210800,409131
2018-03-20,85.002300,85.637600,84.317400,84.694600,373662
2018-03-21,85.310100,86.054600,84.903100,85.141300,350007
2018-03-22,83.979900,86.034700,83.930200,84.664800,689668
2018-03-23,82.351900,84.585400,82.232800,84.238000,812678
2018-03-26,83.940200,83.999700,82.580200,83.523200,763761
2018-03-27,83.384300,85.369600,83.205600,84.456400,805903
2018-03-28,82.520700,83.433900,82.302300,83.384300,717868
2018-03-29,84.664800,85.141300,82.719200,83.106300,807114
2018-04-02,82.629800,84.724400,81.647100,84.654900,530739
2018-04-03,83.970000,84.376900,82.610000,82.828400,623305
2018-04-04,85.111500,85.498700,82.242700,82.838300,971692
2018-04-05,85.310100,86.024800,84.178400,85.449000,990901
2018-04-06,84.128800,85.597900,83.334600,84.893100,567846
2018-04-09,83.920300,85.052000,83.831000,84.952700,334393
2018-04-10,84.605300,85.528400,84.446400,85.012300,651729
2018-04-11,83.920300,84.615200,83.721800,83.811100,453193
2018-04-12,84.684700,85.151200,83.771500,84.357100,587375
2018-04-13,83.940200,85.210800,83.553000,85.141300,335317
