Date,Close,High,Low,Open,Volume
2017-12-18,116.090000,118.800000,115.850000,118.160000,2065370
2017-12-19,115.720000,116.925000,115.160000,115.780000,1661467
2017-12-20,118.350000,118.620000,115.510000,115.720000,1886100
2017-12-21,118.240000,119.810000,117.838000,118.320000,1946256
2017-12-22,118.780000,119.130000,117.510000,117.950000,991743
2017-12-26,119.220000,119.880000,118.280000,119.130000,1053754
2017-12-27,119.800000,119.940000,118.820000,119.340000,1298309
2017-12-28,120.260000,121.170000,118.895000,121.000000,1121620
2017-12-29,119.590000,121.195000,119.135000,120.760000,1082217
2018-01-02,124.050000,124.300000,119.990000,121.630000,2340519
2018-01-03,124.950000,126.290000,122.410000,125.150000,2519025
2018-01-04,122.690000,125.820000,122.130000,125.820000,2094988
2018-01-05,122.800000,123.910000,121.582100,123.910000,2733214
2018-01-08,119.700000,122.800000,118.000000,122.640000,3201102
2018-01-09,121.800000,122.110000,120.033500,120.500000,1776086
2018-01-10,121.460000,121.920000,120.130000,121.700000,1724439
2018-01-11,122.480000,122.960000,120.220000,121.500000,1571728
2018-01-12,122.710000,123.630000,121.590000,123.000000,1228288
2018-01-16,124.480000,126.060000,123.000000,123.000000,4154584
2018-01-17,122.120000,125.540000,121.600000,125.540000,2074949
2018-01-18,120.350000,122.430000,120.040000,122.430000,1477282
2018-01-19,121.050000,121.725000,120.380000,120.600000,1799064
2018-01-22,123.670000,124.030000,120.590000,121.240000,1430817
2018-01-23,125.590000,126.160000,122.660000,123.430000,1658218
2018-01-24,125.010000,129.150000,123.875000,126.040000,1525946
2018-01-25,124.950000,126.455000,124.040000,125.880000,954565
2018-01-26,128.090000,128.270000,125.400000,125.570000,1510118
2018-01-29,126.790000,128.440000,126.250000,127.330000,1259876
2018-01-30,122.360000,127.500000,122.320000,126.190000,1700188
2018-01-31,119.320000,122.730000,119.190000,122.340000,2088405
2018-02-01,118.090000,119.535000,116.890100,118.450000,2706959
2018-02-02,116.150000,117.980000,115.620000,117.420000,1389226
2018-02-05,112.720000,118.615000,112.700000,117.260000,2050656
2018-02-06,114.910000,115.150000,109.610000,110.650000,2094313
2018-02-07,117.150000,119.120000,113.590000,113.950000,2695826
2018-02-08,108.470000,118.840000,108.270000,116.310000,3744416
2018-02-09,108.600000,110.990000,104.951000,109.060000,3039212
2018-02-12,115.430000,115.980000,109.520000,109.560000,2659627
2018-02-13,113.970000,115.360000,112.560000,114.280000,2426517
2018-02-14,123.200000,123.800000,112.590000,113.170000,3156776
2018-02-15,122.710000,125.300000,120.660000,123.070000,2595683
2018-02-16,120.470000,123.170000,119.240000,122.570000,3898513
2018-02-20,118.850000,122.110000,118.470000,119.460000,2022817
2018-02-21,117.100000,120.120000,117.040000,119.430000,1555206
2018-02-22,114.590000,118.260000,114.090000,117.740000,1812338
2018-02-23,118.930000,118.990000,114.520000,115.780000,1815156
2018-02-26,121.330000,121.370000,119.120000,119.980000,1261786
2018-02-27,118.340000,122.310000,118.340000,120.720000,1786392
2018-02-28,117.450000,120.725000,117.430000,118.610000,1418988
2018-03-01,115.110000,117.150000,114.560000,116.060000,1957376
2018-03-02,117.920000,118.350000,113.880000,114.710000,1343726
2018-03-05,119.500000,120.530000,116.760000,116.760000,1341944
2018-03-06,118.130000,120.480000,117.290000,119.780000,1134327
2018-03-07,118.380000,118.630000,116.390000,117.640000,1468579
