Date,Close,High,Low,Open,Volume
2017-12-18,157.917100,158.189800,156.310100,156.378300,1057234
2017-12-19,158.287200,158.920300,157.566500,157.946400,957129
2017-12-20,158.589200,159.441400,158.345700,159.115100,583745
2017-12-21,158.910600,159.232000,158.121700,158.978800,581158
2017-12-22,159.163800,159.344000,158.784000,159.222200,834474
2017-12-26,158.754700,159.212500,158.189800,159.212500,626420
2017-12-27,159.407300,159.621600,158.667100,159.193000,936362
2017-12-28,160.332600,160.488400,159.241700,159.913800,711337
2017-12-29,160.734200,161.312200,160.479500,160.695000,835025
2018-01-02,162.135000,162.164400,160.459900,161.517900,1051894
2018-01-03,163.016700,163.222400,161.635400,162.184000,798204
2018-01-04,163.643600,164.427300,163.276300,163.898300,932370
2018-01-05,165.015100,165.524500,163.682800,164.535100,742202
2018-01-08,165.191400,165.367700,163.712200,164.829000,802117
2018-01-09,165.612600,167.008600,164.946500,165.622400,834852
2018-01-10,164.917100,165.741400,164.348900,165.632200,902678
2018-01-11,166.504100,167.052700,165.318800,165.593000,695181
2018-01-12,166.680400,166.837200,165.475500,166.533500,648674
2018-01-16,163.349700,167.993100,162.379900,167.934300,1115533
2018-01-17,165.122800,165.710600,163.790600,164.819200,806367
2018-01-18,163.496700,165.541600,162.859900,164.378300,1032532
2018-01-19,164.378300,164.554700,163.359500,163.594600,1057417
2018-01-22,165.162000,165.240400,163.153800,164.221600,976833
2018-01-23,166.141600,166.249400,164.231400,164.564500,1058563
2018-01-24,167.327000,167.620800,166.278800,166.288600,877653
2018-01-25,170.451900,171.598100,168.189000,168.189000,2585876
2018-01-26,166.386500,167.787400,159.372500,160.881100,2700882
2018-01-29,163.271400,166.837200,162.575900,163.545700,2032487
2018-01-30,164.868100,165.485300,162.507300,163.300800,1790584
2018-01-31,164.936700,165.886900,163.761200,165.534300,1867806
2018-02-01,163.388900,164.868100,161.978300,163.800400,1476987
2018-02-02,159.519500,163.006900,159.263700,163.006900,1356909
2018-02-05,153.142200,160.205200,152.378100,159.098200,1707475
2018-02-06,156.952900,157.511300,150.379700,151.202600,2396601
2018-02-07,154.983900,158.530100,154.885900,156.335700,1650018
2018-02-08,149.684200,155.414900,149.596000,154.885900,1218682
2018-02-09,154.866300,155.767600,149.762600,151.996100,1787004
2018-02-12,156.423900,157.423100,155.121000,155.797000,1266296
2018-02-13,156.188800,156.794800,154.425500,156.022300,1189327
2018-02-14,157.981500,158.368400,154.278600,154.650800,1115468
2018-02-15,160.264000,160.695000,156.737400,158.706400,1092687
2018-02-16,160.293400,161.067300,158.618200,159.842700,1195187
2018-02-20,159.588000,160.665600,159.000300,159.499900,1248744
2018-02-21,157.481900,161.513000,157.432900,159.735000,711651
2018-02-22,159.255000,160.185600,157.432900,158.314600,771870
2018-02-23,160.920300,160.959500,159.480300,160.440300,632615
2018-02-26,162.066500,162.458300,160.234600,161.135800,891655
2018-02-27,160.273800,163.075500,160.273800,162.360300,757210
2018-02-28,157.511300,161.606000,157.472100,160.381500,816445
2018-03-01,157.550500,158.275400,155.924300,157.413300,1453108
2018-03-02,156.512100,157.315400,154.699800,156.992100,1560262
2018-03-05,159.950500,160.283600,155.615700,155.885100,990493
2018-03-06,160.851700,162.154600,158.686800,160.215000,771666
