Date,Close,High,Low,Open,Volume
2017-12-18,88.587900,88.994000,88.389800,88.696900,936883
2017-12-19,87.944200,89.201900,87.934300,88.855300,1249266
2017-12-20,87.785700,88.290800,87.389600,88.290800,997257
2017-12-21,87.597600,88.211600,87.488600,88.211600,1060547
2017-12-22,87.290500,88.162100,86.904300,87.914500,693355
2017-12-26,86.943900,87.211300,86.586100,87.211300,664544
2017-12-27,87.241000,87.340100,86.854800,87.241000,1148194
2017-12-28,87.746100,87.795600,86.993400,87.399500,809358
2017-12-29,86.953800,88.290800,86.686400,88.142300,849164
2018-01-02,86.953800,87.993700,86.706300,87.617400,1227466
2018-01-03,88.082800,88.102600,86.656800,86.735900,1342023
2018-01-04,87.775800,88.409600,87.775800,88.142300,1398304
2018-01-05,88.845400,88.944400,88.043200,88.280900,1101917
2018-01-08,89.796200,89.835800,88.776100,88.776100,1361341
2018-01-09,89.934800,90.628100,89.885300,90.123000,1250130
2018-01-10,88.647300,89.816000,88.399700,89.716900,936307
2018-01-11,89.915000,89.944700,88.469100,88.657200,769773
2018-01-12,90.945000,91.053900,89.590700,89.984300,845965
2018-01-16,90.400300,91.717500,90.311100,91.113300,1482074
2018-01-17,91.955100,92.103700,90.241800,91.063800,933823
2018-01-18,91.400500,92.381000,91.232200,91.975000,1516392
2018-01-19,92.232400,92.717700,91.984900,92.262200,1790558
2018-01-22,91.093500,92.589000,90.895500,92.232400,2060798
2018-01-23,90.935100,91.311400,90.786500,91.063800,1486278
2018-01-24,90.321000,92.628600,90.083400,91.767000,2465934
2018-01-25,90.321000,91.786800,90.123000,90.618200,2190257
2018-01-26,91.836300,91.836300,90.063600,90.855800,1661556
2018-01-29,91.242100,92.103700,91.078700,91.469900,1988233
2018-01-30,91.658000,92.133400,90.321000,90.479500,1510745
2018-01-31,91.875900,92.212600,91.509500,92.173000,1541989
2018-02-01,91.925400,92.618700,90.519100,90.519100,1321914
2018-02-02,90.370600,91.945200,90.311100,91.638200,1700830
2018-02-05,87.557900,91.123200,87.231100,89.885300,1915134
2018-02-06,87.706500,88.023400,84.884000,85.884200,2469254
2018-02-07,87.429200,88.964300,86.617100,87.161800,1782008
2018-02-08,83.626200,87.666900,83.586600,87.389600,2568751
2018-02-09,83.962900,84.626500,81.358300,84.121400,2680062
2018-02-12,85.577200,86.062500,84.864200,84.963200,1797787
2018-02-13,86.042700,86.240800,84.973100,85.012700,874556
2018-02-14,86.498200,86.597300,85.408900,85.468300,1073923
2018-02-15,88.280900,88.280900,86.943900,87.161800,1628132
2018-02-16,89.122700,89.845700,87.795600,87.894700,1227940
2018-02-20,89.489100,89.954600,88.439400,88.637400,1181133
2018-02-21,89.548600,90.667700,89.548600,89.617900,1032964
2018-02-22,89.360400,90.321000,89.192000,89.915000,1210859
2018-02-23,89.954600,89.984300,89.053400,89.608000,971319
2018-02-26,91.519400,91.534200,89.825900,90.192300,803407
2018-02-27,91.053900,92.628600,91.053900,91.697700,1142942
2018-02-28,90.509200,91.806600,90.499300,91.509500,1269923
2018-03-01,88.092700,90.677600,87.389600,90.271500,1567691
2018-03-02,88.786000,88.984100,87.290500,87.647100,1151699
2018-03-05,88.320500,88.855300,87.369800,88.122400,1088635
2018-03-06,88.885000,89.261400,88.266000,88.637400,1034625
2018-03-07,89.390100,89.608000,87.657000,87.954100,1103587
2018-03-08,89.707000,89.776300,89.063300,89.449500,1351620
2018-03-09,91.549100,91.757100,89.970500,90.251700,1195053
2018-03-12,91.767000,92.173000,91.450100,91.618400,1305126
2018-03-13,91.618400,92.598900,91.331200,92.262200,886865
2018-03-14,90.489400,92.064100,90.326000,91.955100,575243
2018-03-15,91.063800,91.499600,90.331000,90.667700,692688
2018-03-16,91.302000,92.224900,90.776000,91.460800,1803673
2018-03-19,90.647000,91.411200,89.664500,91.202800,1203286
2018-03-20,91.004300,91.311900,90.488200,90.994400,857031
2018-03-21,90.339400,91.321800,90.131000,90.915000,750175
2018-03-22,87.501100,89.773700,87.401800,89.317200,1097632
2018-03-23,84.682600,88.046900,84.573400,87.530800,1107240
2018-03-26,86.429300,86.498700,84.732200,85.734600,1153280
2018-03-27,84.940600,87.332300,84.444400,86.727000,1050758
2018-03-28,84.206200,85.228400,83.319000,85.139100,929293
2018-03-29,85.476500,86.320100,84.414700,84.752100,1355274
2018-04-02,83.412300,85.625400,82.102300,85.476500,1324574
2018-04-03,84.156600,84.226100,82.539000,83.640600,1373929
2018-04-04,84.345200,84.513900,81.506900,81.506900,1521251
2018-04-05,84.126900,85.089500,83.839100,84.891000,1164885
2018-04-06,81.943500,83.928400,81.278600,83.680300,1235725
2018-04-09,82.945900,83.968100,82.152000,82.499300,1425925
2018-04-10,84.722300,85.069600,83.908500,84.275700,1926757
2018-04-11,84.633000,85.297900,84.206300,84.226100,1612535
2018-04-12,85.486500,85.833800,84.672700,85.139100,1035405
2018-04-13,84.960500,86.009600,84.722300,85.843700,749499
2018-04-16,85.814000,86.151400,85.099400,85.645200,754770
2018-04-17,86.161300,86.478900,85.635300,86.151400,999875
2018-04-18,86.538400,87.004900,86.062100,86.548300,763199
2018-04-19,85.546000,86.449100,85.357400,86.419300,1033917
2018-04-20,84.563500,85.307800,84.027600,85.297900,1515979
2018-04-23,83.759700,85.034900,83.640600,84.950600,1528000
2018-04-24,82.142000,84.454300,81.407600,84.315400,2392908
2018-04-25,82.251200,83.313100,79.809900,83.015300,2801481
2018-04-26,83.154300,83.174100,81.977800,82.519100,1580142
2018-04-27,83.640600,83.963100,82.876400,83.263500,1789558
2018-04-30,83.074900,84.206200,83.074900,83.749700,1534717
2018-05-01,83.303100,83.497200,82.142000,82.717600,1290337
2018-05-02,83.323000,84.136800,83.114600,83.561200,1742373
2018-05-03,83.640600,83.819200,82.201600,82.777200,1293270
2018-05-04,84.702500,84.940600,83.010400,83.144400,1415037
2018-05-07,85.168900,85.506300,84.821500,84.821500,1370088
2018-05-08,85.089500,85.337600,84.523800,85.228400,1282469
2018-05-09,85.655200,85.814000,84.613100,85.129200,1124588
2018-05-10,86.607900,86.647600,85.486500,86.161300,977523
2018-05-11,87.312500,87.352200,86.335000,86.429300,1182297
2018-05-14,87.520900,87.640000,87.114000,87.471300,1072806
2018-05-15,87.193400,87.501100,86.915500,87.391900,1110140
2018-05-16,87.679700,88.017100,86.945300,87.560600,1020016
2018-05-17,87.451400,88.017100,87.248000,87.550700,999070
2018-05-18,87.312500,87.699500,86.955200,87.253000,907349
2018-05-21,88.255300,88.265200,87.550700,87.818600,991736
2018-05-22,87.431600,88.523200,87.362100,88.523200,1091948
2018-05-23,87.530800,87.550700,86.399500,86.945300,1118372
2018-05-24,87.133900,87.937700,86.727000,87.441500,807931
2018-05-25,86.607900,87.143800,86.161300,87.014800,1100380
2018-05-29,86.320100,86.975100,85.605500,85.883400,1439851
2018-05-30,86.905600,87.282700,86.727000,86.826200,956781
2018-05-31,86.270500,87.123900,85.684900,85.764300,1793354
2018-06-01,87.699500,87.851600,86.687300,86.905600,1049269
2018-06-04,87.421700,88.026900,87.282700,87.739200,1214552
2018-06-05,89.267600,89.297300,86.558300,87.342300,1334658
2018-06-06,89.753800,89.753800,88.741600,89.317200,1048245
2018-06-07,90.121000,90.180600,89.555400,89.813400,1486735
2018-06-08,90.220300,90.289700,89.389700,89.773700,1086008
2018-06-11,90.031700,90.408800,89.892800,90.279800,1389473
2018-06-12,90.180600,90.190500,88.830900,89.843200,1364975
2018-06-13,90.359200,90.577500,89.972200,90.230200,1105215
2018-06-14,90.508100,90.845500,90.031700,90.478300,1053970
2018-06-15,90.856300,91.503000,89.732000,90.219500,1743033
2018-06-18,90.338900,90.338900,89.423600,90.120000,805511
2018-06-19,89.224600,89.363900,88.199800,89.115200,949346
2018-06-20,89.383800,89.749700,88.956000,89.562900,970864
2018-06-21,88.010800,89.393800,87.861600,89.354000,1048824
2018-06-22,88.747100,88.906200,87.871500,88.498300,1304652
2018-06-25,87.344200,88.548100,86.448800,88.548100,1339154
2018-06-26,86.727400,87.861500,86.707500,87.195000,1388692
2018-06-27,85.831900,87.413900,85.812000,86.896500,1596276
2018-06-28,86.617900,86.667700,85.125500,85.782200,1501399
2018-06-29,86.707500,87.473600,86.578100,86.836800,1842526
2018-07-02,86.667700,86.727400,85.110600,86.110500,1151678
2018-07-03,86.269700,87.055700,86.140400,87.055700,429601
2018-07-05,87.364100,87.384000,86.110500,86.757200,778872
2018-07-06,87.742200,88.030700,87.025800,87.533300,811804
2018-07-09,88.916200,88.975900,87.971000,88.359000,813723
2018-07-10,88.816700,89.105200,88.587900,88.677400,658456
2018-07-11,87.204900,88.279400,85.493700,85.493700,791879
2018-07-12,88.597800,88.637600,87.672500,87.692400,819929
2018-07-13,88.259500,88.876400,88.199800,88.767000,678476
2018-07-16,88.080500,88.667500,87.951100,88.359000,768795
2018-07-17,88.558000,88.727200,87.563100,87.831700,1089132
2018-07-18,88.677400,89.045500,88.339100,88.607800,954967
2018-07-19,88.140200,88.836600,87.951100,88.279400,918076
2018-07-20,87.951100,88.359000,87.672500,87.831700,1121865
2018-07-23,87.553100,87.841700,87.264600,87.732200,1071770
2018-07-24,88.428700,88.876400,87.896400,87.990900,1608057
2018-07-25,92.567600,92.696900,89.543000,89.543000,2191190
2018-07-26,95.044900,95.214000,92.667000,93.065000,2007519
2018-07-27,93.482900,95.413000,93.144600,95.044900,2301947
2018-07-30,91.781600,93.562500,91.711900,93.104800,1061320
2018-07-31,93.035200,93.144600,91.751700,91.990500,1908420
2018-08-01,92.905800,93.313700,92.368600,93.035200,1116074
2018-08-02,93.363500,93.771400,92.328800,92.557600,1077215
2018-08-03,93.383400,93.681900,92.945600,93.681900,915424
2018-08-06,93.492800,93.691800,93.144600,93.303800,746258
2018-08-07,94.099700,94.229100,93.313700,93.492800,747467
2018-08-08,93.980300,94.298700,93.870900,94.199200,634596
