Date,Close,High,Low,Open,Volume
2017-12-18,130.148000,130.410200,129.070200,129.070200,512978
2017-12-19,127.788400,130.478200,127.312600,130.478200,690049
2017-12-20,124.904400,128.230200,124.904400,127.448500,2323765
2017-12-21,125.098600,125.652100,124.477200,124.914100,438439
2017-12-22,125.710400,126.137600,124.967500,125.555000,283465
2017-12-26,126.613400,126.827100,125.419100,125.807500,404586
2017-12-27,127.429100,127.817500,126.827100,127.147500,556625
2017-12-28,127.761600,128.064700,126.998900,127.859300,513598
2017-12-29,127.683300,128.152600,127.438900,127.820200,373468
2018-01-02,127.038000,128.084200,126.793600,128.084200,540403
2018-01-03,126.441600,127.370500,126.050500,127.253100,469967
2018-01-04,123.919000,125.551900,122.413300,122.569700,2719641
2018-01-05,124.173200,125.033700,123.909200,124.075500,1075575
2018-01-08,124.447000,125.327000,124.007000,124.535000,918994
2018-01-09,123.508400,124.476300,123.273700,124.407900,866146
2018-01-10,122.491500,123.479000,121.708400,123.479000,1087388
2018-01-11,122.315500,123.723500,122.139500,123.136800,840115
2018-01-12,122.335100,122.569700,120.829400,122.315500,1622004
2018-01-16,122.149300,123.782100,122.061300,122.491500,558247
2018-01-17,122.706600,123.332400,121.484400,122.667500,1227147
2018-01-18,122.589300,123.097700,121.777800,122.677300,651543
2018-01-19,123.146600,123.303000,122.344900,122.882600,616812
2018-01-22,124.486100,124.486100,122.564900,123.156400,738629
2018-01-23,124.828300,125.023900,123.977700,124.466600,524049
2018-01-24,123.801700,125.082500,123.097700,124.574100,562129
2018-01-25,124.143900,124.280800,123.215100,123.684400,425465
2018-01-26,123.655000,124.574100,122.755500,124.427500,365743
2018-01-29,121.738700,123.400800,121.406200,123.400800,570715
2018-01-30,122.951100,123.312800,120.594700,122.657700,727398
2018-01-31,126.813100,126.813100,123.068400,123.068400,926192
2018-02-01,122.432900,127.502400,122.364400,126.813100,848941
2018-02-02,121.357300,122.881600,119.949400,121.689800,672220
2018-02-05,117.211700,121.660400,117.016200,121.181300,852131
2018-02-06,115.901500,117.612600,113.858100,116.458900,1051676
2018-02-07,116.312200,118.218800,115.148700,115.569100,963488
2018-02-08,112.029700,117.695700,111.462600,115.950400,1065853
2018-02-09,115.412700,116.263300,112.039500,113.251900,958186
2018-02-12,116.429500,117.016200,112.792300,116.165500,920817
2018-02-13,117.681000,118.169900,115.236700,116.204600,792487
2018-02-14,117.387700,117.769000,115.275800,116.683700,498772
2018-02-15,119.030300,119.059600,117.485500,117.886400,559750
2018-02-16,119.929800,120.438300,119.020500,119.186800,575957
2018-02-20,118.277500,121.181300,118.111200,119.558300,774519
2018-02-21,115.794000,118.521900,115.686400,117.886400,680856
2018-02-22,117.299700,118.111200,116.390400,116.419700,515925
2018-02-23,119.920100,119.939600,117.524600,117.817900,273958
2018-02-26,120.633800,120.653400,118.981400,120.428500,308953
2018-02-27,118.150300,120.804900,117.769000,120.408900,543491
2018-02-28,118.609900,120.506700,118.580600,118.600100,848276
2018-03-01,119.871200,120.360000,117.544100,118.121000,653889
2018-03-02,120.741400,120.946700,118.433900,119.519200,512203
2018-03-05,122.208000,123.024400,119.793000,120.037400,618839
2018-03-06,122.618600,122.960800,120.438300,122.129800,589452
2018-03-07,122.980400,123.430200,121.973300,122.178600,470484
2018-03-08,122.843500,123.586600,122.100400,123.351900,388090
2018-03-09,123.175900,123.606100,121.738700,123.459500,471960
2018-03-12,123.224800,123.733300,122.677300,123.146600,714545
2018-03-13,123.743000,124.662100,122.892400,123.449700,439494
2018-03-14,123.586600,124.486100,122.667500,124.016800,586726
2018-03-15,124.251500,124.652300,123.488800,123.772400,436725
2018-03-16,125.385600,125.708300,123.606100,123.879900,1269042
2018-03-19,124.407900,125.595900,123.684400,125.395400,490267
2018-03-20,123.576800,125.356300,123.107500,124.525200,621297
2018-03-21,122.569700,123.611000,121.675100,123.586600,364994
2018-03-22,119.460500,123.019500,119.323600,122.002700,1061627
2018-03-23,115.960200,119.744100,115.432300,119.343200,968974
2018-03-26,118.414300,118.649000,116.116600,117.074800,764855
2018-03-27,119.265000,121.367100,116.928200,118.903200,981063
2018-03-28,121.707800,121.973700,119.905200,119.954500,441217
2018-03-29,123.017900,123.195200,121.382800,121.924500,590892
2018-04-02,119.964300,123.244400,118.772500,122.968600,718255
2018-04-03,120.988700,121.412300,119.343800,120.200700,601440
2018-04-04,122.564800,122.683000,119.747600,120.456800,509863
2018-04-05,121.323600,122.840600,120.717900,122.840600,543111
2018-04-06,120.240100,121.904800,119.905200,121.688100,456275
2018-04-09,119.521100,120.909900,119.343800,120.338600,627538
2018-04-10,119.875700,120.289400,119.294500,120.190900,557856
2018-04-11,119.274800,120.190900,119.265000,119.511200,533336
2018-04-12,118.979300,119.530900,118.299700,119.530900,647605
2018-04-13,120.220400,120.299200,118.723200,119.255100,392354
2018-04-16,121.087200,121.638800,120.126900,120.575000,361023
2018-04-17,122.387500,123.519100,120.841000,121.382700,454577
2018-04-18,122.446600,123.421700,122.289000,122.574600,453419
2018-04-19,120.230300,122.131400,119.324100,122.131400,356197
2018-04-20,119.481700,120.850800,119.333900,120.496200,527388
2018-04-23,119.550600,120.299200,119.038400,119.560500,320264
2018-04-24,119.836300,120.506100,119.008900,119.915100,420210
2018-04-25,120.033300,120.348500,119.018700,119.570300,411352
2018-04-26,121.461500,122.348100,120.033300,120.289400,457644
2018-04-27,122.988300,123.471000,121.363000,121.412300,393181
2018-04-30,122.702700,123.402000,122.220000,123.402000,657254
2018-05-01,127.470100,128.573300,122.781500,123.736900,1224242
2018-05-02,125.657700,126.997300,124.465800,126.820000,1060541
2018-05-03,124.830300,125.706900,124.160500,125.303100,721397
2018-05-04,126.623000,126.967700,124.259000,124.840100,455214
2018-05-07,127.854300,128.110400,126.416100,127.243600,454862
2018-05-08,126.416100,127.292800,125.982700,127.135200,621579
2018-05-09,127.893700,127.962600,126.332400,126.711600,316640
2018-05-10,127.420900,128.563500,126.888900,128.051300,446638
2018-05-11,126.120600,128.041400,126.032000,127.657300,664458
2018-05-14,125.076500,126.450600,124.446100,126.268400,609501
2018-05-15,122.289000,124.672700,121.944200,124.672700,639897
2018-05-16,120.801600,122.820900,120.584900,122.584500,844802
2018-05-17,119.924900,121.254700,119.827400,120.801600,516196
2018-05-18,119.402900,120.102200,118.777400,119.885500,808941
2018-05-21,121.579700,121.944200,118.939900,120.210600,706113
2018-05-22,121.944200,122.151100,121.008400,121.461500,643024
2018-05-23,123.924100,124.387000,121.569900,121.924500,504062
2018-05-24,121.954000,124.091500,121.116800,124.091500,782744
2018-05-25,121.648700,122.436700,121.441800,122.052600,612747
2018-05-29,122.525400,122.584500,120.841000,121.254700,1026753
2018-05-30,123.451300,124.318100,122.180600,122.751900,1178735
2018-05-31,123.047400,123.618700,122.495800,122.781500,1356449
2018-06-01,123.697500,123.884700,122.338200,123.362600,905487
2018-06-04,125.303100,125.436100,123.874800,124.150600,549155
2018-06-05,124.712100,126.140300,124.318100,125.559200,591835
2018-06-06,124.426400,124.810600,123.736900,124.278700,770034
2018-06-07,124.446100,124.978000,123.402000,124.938600,563381
2018-06-08,125.283400,125.608400,123.805900,124.337800,598444
2018-06-11,123.392200,125.401600,122.801200,125.401600,861208
2018-06-12,124.918900,125.293200,123.136100,123.136100,608612
2018-06-13,123.815700,125.411400,123.126200,124.889400,877033
2018-06-14,125.746300,126.288100,123.618700,124.121100,599867
2018-06-15,125.923600,126.682100,125.519800,125.992600,1465053
2018-06-18,124.505200,125.953200,123.333100,125.214400,778516
2018-06-19,124.465800,125.028300,123.815700,124.091500,759878
2018-06-20,124.702200,125.312900,123.805900,124.249100,715742
2018-06-21,124.515100,124.879500,123.579300,124.790900,682094
2018-06-22,125.175000,125.470500,124.180200,125.086400,1308666
2018-06-25,124.052100,125.401600,123.392200,125.401600,885664
2018-06-26,123.717200,124.544600,123.717200,124.298400,585461
2018-06-27,122.948900,124.259000,122.919400,124.012700,714926
2018-06-28,125.380300,125.549000,123.137500,123.216900,692737
2018-06-29,125.211600,126.601000,124.090200,125.082600,945812
2018-07-02,124.725300,125.549000,122.512300,124.943600,542723
2018-07-03,125.687900,126.551300,124.358100,124.794800,319594
2018-07-05,126.680300,126.839100,125.330700,125.826900,824957
2018-07-06,126.700200,127.732300,126.338000,126.928400,480320
2018-07-09,127.226200,127.533800,126.283400,127.216200,769109
2018-07-10,126.412400,127.375000,126.213900,126.988000,556841
2018-07-11,127.057500,128.020100,126.144400,126.144400,735053
2018-07-12,126.958200,127.385000,126.342900,127.365100,1079329
2018-07-13,126.938400,127.781900,126.759700,127.047500,495599
2018-07-16,125.995600,126.625800,125.330700,126.531500,495854
2018-07-17,124.814600,126.362800,124.606200,126.134500,498390
2018-07-18,124.685600,125.390200,123.688300,124.616100,499907
2018-07-19,125.955900,126.695300,124.090200,124.407700,378375
2018-07-20,123.742800,125.732600,123.266500,125.549000,439717
2018-07-23,122.611500,124.040600,122.016000,123.623700,561095
2018-07-24,121.936700,122.681000,121.569500,122.681000,487010
2018-07-25,122.403100,123.048100,121.539700,121.787800,314628
2018-07-26,122.363400,123.197000,121.936700,122.681000,346587
2018-07-27,121.619100,122.869500,121.301500,122.869500,566174
2018-07-30,121.887000,122.006100,120.686200,121.569500,615037
2018-07-31,126.471900,127.375000,122.016000,122.889400,1437458
2018-08-01,127.196400,127.375000,124.492100,125.241400,678965
2018-08-02,125.092500,127.236100,125.003200,126.452100,662691
2018-08-03,126.491800,126.511600,124.507000,125.092500,429127
2018-08-06,127.236100,127.365100,126.000600,126.521600,567376
2018-08-07,126.511600,126.868900,125.946000,126.868900,398199
2018-08-08,125.876500,126.978100,125.777300,126.710100,261785
2018-08-09,125.509300,125.995600,125.246300,125.648200,328037
2018-08-10,124.258900,125.757400,124.080200,125.241400,411887
2018-08-13,123.236700,124.874200,123.217000,124.358100,499949
2018-08-14,123.554300,123.921500,122.234400,123.335900,592088
2018-08-15,125.777300,125.936000,123.574100,123.633700,463994
2018-08-16,127.643000,128.049900,125.558900,125.558900,587395
2018-08-17,128.774300,128.804100,127.330400,127.593400,433483
2018-08-20,127.434600,129.429300,127.265900,129.429300,441384
2018-08-21,126.323100,127.920900,126.144400,126.888800,516908
2018-08-22,125.558900,126.620800,124.695500,126.223800,523113
2018-08-23,125.558900,126.700200,125.390200,125.767300,347704
2018-08-24,125.668100,126.005500,124.636000,125.429900,392823
2018-08-27,125.390200,126.084900,124.596300,126.035300,439305
2018-08-28,127.375000,127.474300,124.973400,125.320800,420921
2018-08-29,127.107100,127.841500,126.620800,127.672800,459500
2018-08-30,126.382600,127.404800,125.936000,127.196400,712054
2018-08-31,127.375000,127.543700,126.442200,126.511600,537285
2018-09-04,125.023000,127.305600,124.814600,127.097200,455665
2018-09-05,126.541400,126.793600,124.070400,124.536800,882750
2018-09-06,127.633100,128.030000,126.531500,126.819300,1152797
2018-09-07,125.687900,127.265900,125.578800,127.027700,530009
2018-09-10,126.422300,127.528900,126.263500,126.571200,365723
2018-09-11,126.988000,127.260900,125.747500,125.807000,435748
2018-09-12,126.670400,127.146800,126.561300,127.047500,303650
2018-09-13,127.047500,127.355200,126.432200,127.027700,555392
2018-09-14,126.025400,126.749800,124.973400,126.690300,395375
2018-09-17,126.610900,126.779600,125.142100,126.084900,704515
2018-09-18,125.638300,126.928400,125.181800,126.601000,352866
2018-09-19,124.487100,126.194100,124.080200,125.836800,451049
2018-09-20,125.281100,125.549000,123.871800,124.516900,464818
2018-09-21,125.836800,127.196400,124.869200,125.072700,1484498
2018-09-24,123.405400,126.194100,122.700800,125.499400,397222
2018-09-25,122.303800,123.762700,121.787800,123.375600,608927
2018-09-26,121.500000,122.889400,121.341200,122.353500,711865
2018-09-27,122.730000,123.880000,121.770000,122.120000,599886
2018-09-28,125.790000,125.890000,122.850000,122.850000,792818
2018-10-01,123.360000,126.030000,123.150000,125.380000,675115
2018-10-02,123.400000,123.870000,122.670000,123.480000,359872
2018-10-03,122.980000,124.460000,121.930000,123.400000,510464
2018-10-04,122.660000,122.970000,121.070000,122.460000,403911
2018-10-05,122.880000,123.820000,122.650000,122.820000,502804
2018-10-08,125.350000,126.120000,122.970000,123.050000,852708
2018-10-09,125.960000,126.000000,123.900000,125.160000,811537
2018-10-10,124.710000,126.890000,124.700000,125.390000,724722
2018-10-11,119.790000,125.010000,119.560000,125.000000,1062905
2018-10-12,120.040000,121.500000,119.240000,120.710000,871984
2018-10-15,121.060000,123.020000,119.500000,119.500000,642883
2018-10-16,123.450000,123.840000,120.980000,121.540000,586316
2018-10-17,122.570000,123.740000,121.610000,123.340000,625624
2018-10-18,121.790000,123.880000,121.440000,122.510000,436515
2018-10-19,122.420000,122.890000,121.680000,121.950000,644400
2018-10-22,120.560000,123.094400,120.500000,122.660000,580899
2018-10-23,122.500000,123.060000,119.570000,119.940000,604211
2018-10-24,123.240000,124.470000,121.990000,122.280000,463322
2018-10-25,124.660000,125.240000,122.670000,123.330000,406020
2018-10-26,121.090000,124.330000,120.510000,123.970000,447771
2018-10-29,123.190000,123.430000,121.810000,122.000000,443427
2018-10-30,123.950000,128.350000,121.580000,124.220000,864518
2018-10-31,122.230000,124.380000,121.540000,124.250000,922482
2018-11-01,122.290000,123.730000,121.890000,122.650000,754805
2018-11-02,120.120000,122.580000,118.900000,122.290000,656722
2018-11-05,122.590000,123.050000,120.560000,120.560000,756228
2018-11-06,123.240000,124.200000,122.310000,122.750000,468451
2018-11-07,125.310000,125.430000,122.900000,123.590000,432580
2018-11-08,125.110000,125.850000,123.960000,124.870000,290529
2018-11-09,124.460000,125.610000,123.990000,125.050000,574010
2018-11-12,123.930000,126.030000,123.720000,124.470000,375143
2018-11-13,123.320000,124.440000,122.400000,124.190000,583733
2018-11-14,123.840000,124.320000,123.120000,123.970000,503820
2018-11-15,121.830000,123.080000,120.840000,123.080000,425748
2018-11-16,122.830000,122.850000,121.230000,121.390000,685146
2018-11-19,122.090000,124.110000,121.470000,123.190000,699706
2018-11-20,120.760000,122.590000,120.340000,121.970000,795087
2018-11-21,121.950000,123.060000,120.450000,120.690000,514467
2018-11-23,121.590000,122.270000,120.760000,121.820000,125643
2018-11-26,122.770000,123.380000,121.500000,122.350000,405818
2018-11-27,122.500000,122.780000,121.180000,122.670000,517604
2018-11-28,124.220000,124.220000,122.490000,122.530000,513132
2018-11-29,122.380000,124.000000,122.325000,124.000000,684280
2018-11-30,124.500000,125.260000,122.650000,123.070000,1376940
2018-12-03,125.900000,126.020000,124.470000,125.970000,816407
2018-12-04,123.540000,126.380000,123.340000,125.990000,765759
2018-12-05,123.540000,123.540000,123.540000,123.540000,0
2018-12-06,127.080000,127.140000,121.500000,123.470000,1264845
2018-12-07,126.170000,127.420000,125.190000,126.810000,816870
2018-12-10,125.760000,126.760000,124.000000,126.210000,798444
2018-12-11,124.630000,127.700000,124.510000,126.270000,938848
2018-12-12,121.290000,126.170000,121.110000,125.600000,784788
2018-12-13,123.000000,124.440000,121.670000,121.670000,735627
2018-12-14,122.500000,123.282800,121.030000,123.030000,792677
2018-12-17,118.750000,123.920000,118.130000,122.940000,1210191
